Rank,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPositionPPR
110,Courtland Sutton,DEN,14,28,WR,WR50,110
111,Dallas Goedert,PHI,5,29,TE,TE13,111
112,Chase Brown,CIN,12,24,RB,RB37,112
113,Jared Goff,DET,5,29,QB,QB13,113
114,Mike Williams,NYJ,12,29,WR,WR51,114
115,Blake Corum,LAR,6,23,RB,RB38,115
116,Jayden Daniels,WAS,14,23,QB,QB14,116
117,Tua Tagovailoa,MIA,6,26,QB,QB15,117
118,Justin Herbert,LAC,5,26,QB,QB16,118
119,Gus Edwards,LAC,5,29,RB,RB39,119
120,Jerome Ford,CLE,10,24,RB,RB40,120
121,Brandon Aubrey,DAL,7,29,K,K1,121
122,Tyler Lockett,SEA,10,31,WR,WR52,122
123,Romeo Doubs,GB,10,24,WR,WR53,123
124,Khalil Shakir,BUF,12,24,WR,WR54,124
125,Zach Charbonnet,SEA,10,23,RB,RB41,125
126,Trevor Lawrence,JAX,12,24,QB,QB17,126
127,Dalton Schultz,HOU,14,27,TE,TE14,127
128,Jakobi Meyers,LV,10,27,WR,WR55,128
129,Kirk Cousins,ATL,12,35,QB,QB18,129
130,Ezekiel Elliott,DAL,7,28,RB,RB42,130
131,Jaylen Wright,MIA,6,21,RB,RB43,131
132,Gabe Davis,JAX,12,25,WR,WR56,132
133,Adonai Mitchell,IND,14,21,WR,WR57,133
134,Joshua Palmer,LAC,5,24,WR,WR58,134
135,Jerry Jeudy,CLE,10,25,WR,WR59,135
136,Cole Kmet,CHI,7,25,TE,TE15,136
137,Pat Freiermuth,PIT,9,25,TE,TE16,137
138,Chuba Hubbard,CAR,11,24,RB,RB44,138
139,Ty Chandler,MIN,6,26,RB,RB45,139
140,J.K. Dobbins,LAC,5,25,RB,RB46,140
141,MarShawn Lloyd,GB,10,23,RB,RB47,141
142,Justin Tucker,BAL,14,34,K,K2,142
143,Rico Dowdle,DAL,7,26,RB,RB48,143
144,Dallas Cowboys,DAL,7,null,DST,DST1,144
145,Josh Downs,IND,14,22,WR,WR60,145
146,Antonio Gibson,NE,14,25,RB,RB49,146
147,Jahan Dotson,WAS,14,24,WR,WR61,147
148,Rashid Shaheed,NO,12,25,WR,WR62,148
149,Aaron Rodgers,NYJ,12,40,QB,QB19,149
150,Kendre Miller,NO,12,21,RB,RB50,150
151,Brandin Cooks,DAL,7,30,WR,WR63,151
152,Baltimore Ravens,BAL,14,null,DST,DST2,152
153,Michael Wilson,ARI,11,24,WR,WR64,153
154,Matthew Stafford,LAR,6,36,QB,QB20,154
155,Quentin Johnston,LAC,5,22,WR,WR65,155
156,Xavier Legette,CAR,11,23,WR,WR66,156
157,Dontayvion Wicks,GB,10,22,WR,WR67,157
158,Harrison Butker,KC,6,28,K,K3,158
159,Tyler Allgeier,ATL,12,24,RB,RB51,159
160,Luke Musgrave,GB,10,23,TE,TE17,160
161,Darnell Mooney,ATL,12,26,WR,WR68,161
162,Baker Mayfield,TB,11,29,QB,QB21,162
163,Marvin Mims Jr.,DEN,14,22,WR,WR69,163
164,Ricky Pearsall,SF,9,23,WR,WR70,164
165,Deshaun Watson,CLE,10,28,QB,QB22,165
166,Ray Davis,BUF,12,24,RB,RB52,166
167,New York Jets,NYJ,12,null,DST,DST3,167
168,Adam Thielen,CAR,11,33,WR,WR71,168
169,Jaleel McLaughlin,DEN,14,23,RB,RB53,169
170,Roschon Johnson,CHI,7,23,RB,RB54,170
171,Drake Maye,NE,14,21,QB,QB23,171
172,Kimani Vidal,LAC,5,22,RB,RB55,172
173,San Francisco 49ers,SF,9,null,DST,DST4,173
174,Bucky Irving,TB,11,21,RB,RB56,174
175,Ka'imi Fairbairn,HOU,14,30,K,K4,175
176,Malachi Corley,NYJ,12,22,WR,WR72,176
177,Jake Elliott,PHI,5,29,K,K5,177
178,Troy Franklin,DEN,14,21,WR,WR73,178
179,Hunter Henry,NE,14,29,TE,TE18,179
180,Will Levis,TEN,5,24,QB,QB24,180
181,Jonnu Smith,MIA,6,28,TE,TE19,181
182,Buffalo Bills,BUF,12,null,DST,DST5,182
183,Cleveland Browns,CLE,10,null,DST,DST6,183
184,Jermaine Burton,CIN,12,22,WR,WR74,184
185,Khalil Herbert,CHI,7,26,RB,RB57,185
186,Rashod Bateman,BAL,14,24,WR,WR75,186
187,Roman Wilson,PIT,9,22,WR,WR76,187
188,Braelon Allen,NYJ,12,20,RB,RB58,188
189,J.J. McCarthy,MIN,6,21,QB,QB25,189
190,Javon Baker,NE,14,22,WR,WR77,190
191,Justin Fields,PIT,9,25,QB,QB26,191
192,Keaton Mitchell,BAL,14,22,RB,RB59,192
193,Michael Mayer,LV,10,22,TE,TE20,193
194,Will Shipley,PHI,5,21,RB,RB60,194
195,Bryce Young,CAR,11,22,QB,QB27,195
196,Tyrone Tracy Jr.,NYG,11,24,RB,RB61,196
197,Ja'Lynn Polk,NE,14,22,WR,WR78,197
198,Wan'Dale Robinson,NYG,11,23,WR,WR79,198
199,Audric Estimé,DEN,14,20,RB,RB62,199
200,Tyler Conklin,NYJ,12,28,TE,TE21,200
201,Noah Fant,SEA,10,26,TE,TE22,201
202,Houston Texans,HOU,14,null,DST,DST7,202
203,Elijah Mitchell,SF,9,26,RB,RB63,203
204,Devontez Walker,BAL,14,22,WR,WR80,204
205,Russell Wilson,PIT,9,35,QB,QB28,205
206,Cade Otton,TB,11,25,TE,TE23,206
207,Demario Douglas,NE,14,23,WR,WR81,207
208,Demarcus Robinson,LAR,6,29,WR,WR82,208
209,Daniel Jones,NYG,11,27,QB,QB29,209
210,Malik Washington,MIA,6,23,WR,WR83,210
211,Isaiah Likely,BAL,14,24,TE,TE24,211
212,Chigoziem Okonkwo,TEN,5,24,TE,TE25,212
213,Dameon Pierce,HOU,14,24,RB,RB64,213
214,Juwan Johnson,NO,12,27,TE,TE26,214
215,Geno Smith,SEA,10,33,QB,QB30,215
216,Miles Sanders,CAR,11,27,RB,RB65,216
217,Ben Sinnott,WAS,14,21,TE,TE27,217
218,Jalen McMillan,TB,11,22,WR,WR84,218
219,Samaje Perine,DEN,14,28,RB,RB66,219
220,Miami Dolphins,MIA,6,null,DST,DST8,220
221,Derek Carr,NO,12,33,QB,QB31,221
222,Philadelphia Eagles,PHI,5,null,DST,DST9,222
223,Brandon McManus,WAS,14,32,K,K6,223
224,Jalin Hyatt,NYG,11,22,WR,WR85,224
225,Mike Gesicki,CIN,12,28,TE,TE28,225
226,D'Onta Foreman,CLE,10,28,RB,RB67,226
227,Luke McCaffrey,WAS,14,23,WR,WR86,227
228,Pittsburgh Steelers,PIT,9,null,DST,DST10,228
229,Rondale Moore,ATL,12,23,WR,WR87,229
230,Ja'Tavion Sanders,CAR,11,21,TE,TE29,230
231,Zay Jones,ARI,11,29,WR,WR88,231
232,Tyler Bass,BUF,12,27,K,K7,232
233,Jake Moody,SF,9,24,K,K8,233
234,Greg Dortch,ARI,11,26,WR,WR89,234
235,Tank Bigsby,JAX,12,22,RB,RB68,235
236,Darren Waller,NYG,11,31,TE,TE30,236
237,Tucker Kraft,GB,10,23,TE,TE31,237
238,Younghoe Koo,ATL,12,29,K,K9,238
239,Las Vegas Raiders,LV,10,null,DST,DST11,239
240,Alexander Mattison,LV,10,25,RB,RB69,240
241,Evan McPherson,CIN,12,24,K,K10,241
242,Jason Sanders,MIA,6,28,K,K11,242
243,Elijah Moore,CLE,10,24,WR,WR90,243
244,Kansas City Chiefs,KC,6,null,DST,DST12,244
245,Indianapolis Colts,IND,14,null,DST,DST13,245
246,Matt Gay,IND,14,30,K,K12,246
247,Isaac Guerendo,SF,9,23,RB,RB70,247
248,Chicago Bears,CHI,7,null,DST,DST14,248
249,Dylan Laube,LV,10,24,RB,RB71,249
250,Trey Palmer,TB,11,23,WR,WR91,250
251,Clyde Edwards-Helaire,KC,6,25,RB,RB72,251
252,Treylon Burks,TEN,5,24,WR,WR92,252
253,Greg Zuerlein,NYJ,12,36,K,K13,253
254,Kenneth Gainwell,PHI,5,25,RB,RB73,254
255,Dustin Hopkins,CLE,10,33,K,K14,255
256,Bo Nix,DEN,14,24,QB,QB32,256
257,Tyler Boyd,TEN,5,29,WR,WR93,257
258,AJ Dillon,GB,10,26,RB,RB74,258
259,Jason Myers,SEA,10,33,K,K15,259
260,Kendrick Bourne,NE,14,28,WR,WR94,260
261,Cameron Dicker,LAC,5,24,K,K16,261
262,A.T. Perry,NO,12,24,WR,WR95,262
263,Cairo Santos,CHI,7,32,K,K17,263
264,Darius Slayton,NYG,11,27,WR,WR96,264
265,Israel Abanikanda,NYJ,12,21,RB,RB75,265
266,Taysom Hill,NO,12,33,QB,QB33,266
267,Daniel Carlson,LV,10,29,K,K18,267
268,Zach Ertz,WAS,14,33,TE,TE32,268
269,Josh Reynolds,DEN,14,29,WR,WR97,269
270,Dawson Knox,BUF,12,27,TE,TE33,270
271,Gardner Minshew II,LV,10,28,QB,QB34,271
272,Brenden Rice,LAC,5,22,WR,WR98,272
273,Odell Beckham Jr.,MIA,6,31,WR,WR99,273
274,New Orleans Saints,NO,12,null,DST,DST15,274
275,Jonathan Mingo,CAR,11,23,WR,WR100,275
276,Johnny Wilson,PHI,5,22,WR,WR101,276
277,New York Giants,NYG,11,null,DST,DST16,277
278,Evan Hull,IND,14,23,RB,RB76,278
279,Sam Darnold,MIN,6,26,QB,QB35,279
280,K.J. Osborn,NE,14,26,WR,WR102,280
281,Greg Dulcich,DEN,14,24,TE,TE34,281
282,Michael Penix Jr.,ATL,12,24,QB,QB36,282
283,Noah Brown,HOU,14,28,WR,WR103,283
284,Jalen Tolbert,DAL,7,25,WR,WR104,284
285,Kadarius Toney,KC,6,25,WR,WR105,285
286,Colby Parkinson,LAR,6,25,TE,TE35,286
287,Will Reichard,MIN,6,23,K,K19,288
288,Jelani Woods,IND,14,25,TE,TE36,289
289,Justice Hill,BAL,14,26,RB,RB77,290
290,Andrei Iosivas,CIN,12,24,WR,WR106,292
291,Jacob Cowing,SF,9,23,WR,WR107,293
292,Mack Hollins,BUF,12,30,WR,WR108,294
293,DJ Chark Jr.,LAC,5,27,WR,WR109,295
294,Rasheen Ali,BAL,14,23,RB,RB78,296
295,Isaiah Davis,NYJ,12,22,RB,RB79,297
296,Ainias Smith,PHI,5,23,WR,WR110,298
297,Ryan Flournoy,DAL,7,24,WR,WR111,299
298,Theo Johnson,NYG,11,23,TE,TE37,300
299,Davis Allen,LAR,6,23,TE,TE38,301
300,Alec Pierce,IND,14,24,WR,WR112,302
301,Bo Melton,GB,10,25,WR,WR113,303
302,Jauan Jennings,SF,9,26,WR,WR114,304
303,Donald Parham Jr.,LAC,5,26,TE,TE39,305
304,Kalif Raymond,DET,5,29,WR,WR115,306
305,Frank Gore Jr.,BUF,12,22,RB,RB80,307
306,Michael Carter,ARI,11,25,RB,RB81,308
307,Jawhar Jordan,HOU,14,24,RB,RB82,309
308,Erick All Jr.,CIN,12,23,TE,TE40,310
309,Allen Lazard,NYJ,12,28,WR,WR116,311
310,Jamari Thrash,CLE,10,23,WR,WR117,313
311,Calvin Austin III,PIT,9,25,WR,WR118,314
312,Tre Tucker,LV,10,23,WR,WR119,315
313,Hayden Hurst,LAC,5,30,TE,TE41,316
314,Blake Grupe,NO,12,25,K,K20,317
315,Wil Lutz,DEN,14,29,K,K21,318
316,DeeJay Dallas,ARI,11,25,RB,RB83,319
317,Chase Claypool,BUF,12,25,WR,WR120,320
318,Daniel Bellinger,NYG,11,23,TE,TE42,321
319,Gerald Everett,CHI,7,29,TE,TE43,322
320,Sam Howell,SEA,10,23,QB,QB37,325
321,Robert Woods,HOU,14,32,WR,WR121,326
322,Tutu Atwell,LAR,6,24,WR,WR122,328
323,Deuce Vaughn,DAL,7,22,RB,RB84,331
324,DeVante Parker,PHI,5,31,WR,WR123,332
325,Clayton Tune,ARI,11,25,QB,QB38,333
326,Kenny McIntosh,SEA,10,24,RB,RB85,334
327,Ronnie Rivers,LAR,6,25,RB,RB86,335
328,Zach Wilson,DEN,14,24,QB,QB39,338
329,Dillon Johnson,TEN,5,22,RB,RB87,339
330,Eric Gray,NYG,11,24,RB,RB88,340
331,Joshua Karty,LAR,6,22,K,K22,341
332,Ameer Abdullah,LV,10,30,RB,RB89,342
333,Cordarrelle Patterson,PIT,9,33,RB,RB90,343
334,Ty Johnson,BUF,12,26,RB,RB91,344
335,John Parker Romo,MIN,6,26,K,K23,345
336,Cody Schrader,SF,9,24,RB,RB92,346
337,Jamaal Williams,NO,12,29,RB,RB93,347
338,Nelson Agholor,BAL,14,31,WR,WR124,348
339,Michael Woods II,CLE,10,24,WR,WR125,349
340,Nick Folk,TEN,5,39,K,K24,350
341,Donovan Peoples-Jones,DET,5,25,WR,WR126,351
342,Hendon Hooker,DET,5,26,QB,QB40,352
343,Elijah Dotson,LAC,5,25,RB,RB94,353
344,Aidan O'Connell,LV,10,25,QB,QB41,354
345,Jeff Wilson Jr.,MIA,6,28,RB,RB95,356
346,Jaheim Bell,NE,14,22,TE,TE44,357
347,Cam Little,JAX,12,20,K,K25,362
348,Ben DiNucci,DEN,14,27,QB,QB42,363
349,Stephen Carlson,CHI,7,27,TE,TE45,364
350,Matt Prater,ARI,11,39,K,K26,365
351,Will Dissly,LAC,5,27,TE,TE46,367
352,Cade Stover,HOU,14,23,TE,TE47,370
353,Rakim Jarrett,TB,11,23,WR,WR127,371
354,Tim Patrick,DEN,14,30,WR,WR128,372
355,Chris Boswell,PIT,9,33,K,K27,373
356,Chris Moore,ARI,11,30,WR,WR129,375
357,Justin Watson,KC,6,29,WR,WR130,377
358,Chad Ryland,NE,14,24,K,K28,378
359,Irv Smith,KC,6,25,TE,TE48,379
360,Brayden Willis,SF,9,24,TE,TE49,380
361,Royce Freeman,DAL,7,28,RB,RB96,381
362,Parker Washington,JAX,12,22,WR,WR131,382
363,John Metchie III,HOU,14,23,WR,WR132,384
364,Tahj Washington,MIA,6,23,WR,WR133,385
365,Michael Badgley,DET,5,28,K,K29,386
366,Jacoby Brissett,NE,14,31,QB,QB43,387
367,DeWayne McBride,MIN,6,22,RB,RB97,388
368,Skyy Moore,KC,6,23,WR,WR134,389
369,Tommy Tremble,CAR,11,23,TE,TE50,390
370,David Wells,TB,11,29,TE,TE51,391
371,Joe Flacco,IND,14,39,QB,QB44,392
372,D'Ernest Johnson,JAX,12,28,RB,RB98,393
373,Xavier Gipson,NYJ,12,23,WR,WR135,395
374,Chris Brooks,MIA,6,24,RB,RB99,396
375,Craig Reynolds,DET,5,27,RB,RB100,397
376,Jake Bobo,SEA,10,25,WR,WR136,399
377,Justin Shorter,BUF,12,24,WR,WR137,401
378,Noah Gray,KC,6,25,TE,TE52,402
379,Emanuel Wilson,GB,10,25,RB,RB101,404
380,Tanner McKee,PHI,5,24,QB,QB45,405
381,Lil'Jordan Humphrey,DEN,14,26,WR,WR138,406
382,Mac Jones,JAX,12,25,QB,QB46,408
383,Tyler Higbee,LAR,6,31,TE,TE53,409
384,Zack Kuntz,NYJ,12,24,TE,TE54,410
385,JuJu Smith-Schuster,NE,14,27,WR,WR139,411
386,Kenny Pickett,PHI,5,25,QB,QB47,412
387,Dyami Brown,WAS,14,24,WR,WR140,413
388,Bub Means,NO,12,23,WR,WR141,415
389,Jase McClellan,ATL,12,21,RB,RB102,416
390,Sean Tucker,TB,11,22,RB,RB103,417
391,Isaiah Williams,DET,5,23,WR,WR142,418
392,Patrick Ricard,BAL,14,30,FB,RB104,419
393,Minnesota Vikings,MIN,6,null,DST,DST17,420
394,Jaren Hall,MIN,6,26,QB,QB48,421
395,Pharaoh Brown,SEA,10,30,TE,TE55,422
396,Tanner Brown,LAR,6,24,K,K30,423
397,Chris Rodriguez Jr.,WAS,14,23,RB,RB105,424
398,Ben Mason,LAC,5,25,FB,RB106,425
399,Cedric Tillman,CLE,10,24,WR,WR143,426
400,Chase McLaughlin,TB,11,28,K,K31,427
401,Zach Evans,LAR,6,23,RB,RB107,428
402,Graham Gano,NYG,11,37,K,K32,429
403,Nick Westbrook-Ikhine,TEN,5,27,WR,WR144,430
404,Josh Ali,ATL,12,25,WR,WR145,431
405,Charlie Jones,CIN,12,25,WR,WR146,432
406,Cody White,SEA,10,25,WR,WR147,433
407,Cornelius Johnson,LAC,5,23,WR,WR148,434
408,Jordan Mason,SF,9,25,RB,RB108,435
409,Alec Ingold,MIA,6,27,FB,RB109,436
410,Max Duggan,LAC,5,23,QB,QB49,437
411,Van Jefferson,PIT,9,27,WR,WR149,439
412,KaVontae Turpin,DAL,7,27,WR,WR150,440
413,Tanner Hudson,CIN,12,29,TE,TE56,441
414,Anders Carlson,GB,10,25,K,K33,442
415,Chase Edmonds,TB,11,28,RB,RB110,444
416,Quez Watkins,PIT,9,25,WR,WR151,447
417,David Bell,CLE,10,23,WR,WR152,448
418,Cincinnati Bengals,CIN,12,null,DST,DST18,449
419,Jameis Winston,CLE,10,30,QB,QB50,450
420,Joshua Dobbs,SF,9,29,QB,QB51,452
421,Tyler Scott,CHI,7,22,WR,WR153,453
422,Jordan Whittington,LAR,6,24,WR,WR154,455
423,Green Bay Packers,GB,10,null,DST,DST19,456
424,Denver Broncos,DEN,14,null,DST,DST20,457
425,Maurice Alexander,DET,5,27,WR,WR155,458
426,Anthony Gould,IND,14,23,WR,WR156,459
427,Jake Browning,CIN,12,28,QB,QB52,460
428,Eddy Piñeiro,CAR,11,28,K,K34,461
429,Derius Davis,LAC,5,23,WR,WR157,462
430,Kyle Juszczyk,SF,9,33,FB,RB111,463
431,Brevin Jordan,HOU,14,23,TE,TE57,464
432,Cole Turner,WAS,14,24,TE,TE58,465
433,New England Patriots,NE,14,null,DST,DST21,466
434,Brenton Strange,JAX,12,23,TE,TE59,467
435,Daylen Baldwin,MIN,6,24,WR,WR158,468
436,Jordan Travis,NYJ,12,24,QB,QB53,469
437,Spencer Rattler,NO,12,23,QB,QB54,470
438,Luke Schoonmaker,DAL,7,25,TE,TE60,471
439,Kylen Granson,IND,14,26,TE,TE61,473
440,Emari Demercado,ARI,11,25,RB,RB112,474
441,Lucas Havrisik,CLE,10,24,K,K35,475
442,Kyle Trask,TB,11,26,QB,QB55,476
443,Kendall Milton,PHI,5,22,RB,RB113,478
444,Olamide Zaccheaus,WAS,14,26,WR,WR159,479
445,Kyle Philips,TEN,5,24,WR,WR160,480
446,Nyheim Hines,CLE,10,27,RB,RB114,481
447,Pierre Strong Jr.,CLE,10,25,RB,RB115,482
448,Isaiah McKenzie,NYG,11,29,WR,WR161,483
449,Cedrick Wilson Jr.,NO,12,28,WR,WR162,484
450,Parris Campbell,PHI,5,26,WR,WR163,485
451,Owen Wright,BAL,14,25,RB,RB116,487
452,Trenton Irwin,CIN,12,28,WR,WR164,488
453,Justyn Ross,KC,6,24,WR,WR165,489
454,Austin Hooper,NE,14,29,TE,TE62,490
455,Michael Burton,DEN,14,32,FB,RB117,491
456,Emani Bailey,KC,6,22,RB,RB118,492
457,Kayshon Boutte,NE,14,22,WR,WR166,493
458,Patrick Taylor,SF,9,26,RB,RB119,496
459,Jarrett Stidham,DEN,14,27,QB,QB56,497
460,River Cracraft,MIA,6,29,WR,WR167,498
461,Cade York,CLE,10,23,K,K36,499
462,Michael Gallup,LV,10,28,WR,WR168,500
463,Isaiah Hodgins,NYG,11,25,WR,WR169,501
464,Jeremy Ruckert,NYJ,12,23,TE,TE63,502
465,Brandon Powell,MIN,6,28,WR,WR170,503
466,Johnny Mundt,MIN,6,29,TE,TE64,506
467,Darnell Washington,PIT,9,22,TE,TE65,507
468,Davis Mills,HOU,14,25,QB,QB57,508
469,KJ Hamler,BUF,12,24,WR,WR171,510
470,Tanner McLachlan,CIN,12,25,TE,TE66,511
471,Keaontay Ingram,KC,6,24,RB,RB120,512
472,Tyquan Thornton,NE,14,23,WR,WR172,513
473,Isaiah Spiller,LAC,5,22,RB,RB121,514
474,Brock Wright,DET,5,25,TE,TE67,516
475,Andy Dalton,CAR,11,36,QB,QB58,517
476,Trey Sermon,IND,14,25,RB,RB122,518
477,Drew Sample,CIN,12,28,TE,TE68,519
478,Josh Oliver,MIN,6,27,TE,TE69,521
479,Will Mallory,IND,14,24,TE,TE70,522
480,Laviska Shenault Jr.,SEA,10,25,WR,WR173,523
481,Salvon Ahmed,MIA,6,25,RB,RB123,524
482,Jimmy Garoppolo,LAR,6,32,QB,QB59,526
483,John FitzPatrick,ATL,12,24,TE,TE71,527
484,Tyrod Taylor,NYJ,12,34,QB,QB60,528
485,Mason Rudolph,TEN,5,28,QB,QB61,530
486,Dare Ogunbowale,HOU,14,30,RB,RB124,531
487,Jamison Crowder,WAS,14,30,WR,WR174,532
488,Marquez Valdes-Scantling,BUF,12,29,WR,WR175,533
489,Jared Wiley,KC,6,23,TE,TE72,534
490,Drew Lock,NYG,11,27,QB,QB62,535
491,Ronnie Bell,SF,9,24,WR,WR176,537
492,Dennis Houston,NYG,11,25,WR,WR177,538
493,Robert Tonyan,MIN,6,30,TE,TE73,539
494,Teagan Quitoriano,HOU,14,24,TE,TE74,540
495,Tucker Fisk,ATL,12,25,FB,RB125,541
496,Cole Fotheringham,LV,10,26,TE,TE75,543
497,Rashaad Penny,CAR,11,28,RB,RB126,544
498,Jha'Quan Jackson,TEN,5,24,WR,WR178,545
499,Deonte Harty,BAL,14,26,WR,WR179,546
500,Mike White,MIA,6,29,QB,QB63,547
501,Devin Duvernay,JAX,12,26,WR,WR180,548
502,Jody Fortson Jr.,MIA,6,28,TE,TE76,549
503,Durham Smythe,MIA,6,28,TE,TE77,550
504,Joe Milton III,NE,14,24,QB,QB64,551
505,Blake Watson,DEN,14,24,RB,RB127,552
506,Zonovan Knight,DET,5,23,RB,RB128,553
507,Hassan Haskins,TEN,5,24,RB,RB129,554
508,Marcus Mariota,WAS,14,30,QB,QB65,556
