Rank,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPositionPPR
1,Justin Jefferson,MIN,13,24,WR,WR1,1
2,Christian McCaffrey,SF,9,27,RB,RB1,2
3,Ja'Marr Chase,CIN,7,24,WR,WR2,3
4,Austin Ekeler,LAC,5,29,RB,RB2,4
5,Tyreek Hill,MIA,10,30,WR,WR3,5
6,Travis Kelce,KC,10,34,TE,TE1,6
7,Cooper Kupp,LAR,10,30,WR,WR4,7
8,Bijan Robinson,ATL,11,22,RB,RB3,8
9,Saquon Barkley,NYG,13,27,RB,RB4,9
10,Stefon Diggs,BUF,13,30,WR,WR5,10
11,CeeDee Lamb,DAL,7,25,WR,WR6,11
12,Nick Chubb,CLE,5,28,RB,RB5,12
13,A.J. Brown,PHI,10,26,WR,WR7,13
14,Davante Adams,LV,13,31,WR,WR8,14
15,Tony Pollard,DAL,7,27,RB,RB6,15
16,Amon-Ra St. Brown,DET,9,24,WR,WR9,16
17,Garrett Wilson,NYJ,7,23,WR,WR10,17
18,Derrick Henry,TEN,7,30,RB,RB7,18
19,Patrick Mahomes,KC,10,28,QB,QB1,19
20,Josh Jacobs,LV,13,26,RB,RB8,20
21,Josh Allen,BUF,13,28,QB,QB2,21
22,Jaylen Waddle,MIA,10,25,WR,WR11,22
23,Chris Olave,NO,11,23,WR,WR12,23
24,Jalen Hurts,PHI,10,25,QB,QB3,24
25,DeVonta Smith,PHI,10,25,WR,WR13,25
26,Rhamondre Stevenson,NE,11,26,RB,RB9,26
27,Najee Harris,PIT,6,26,RB,RB10,27
28,Mark Andrews,BAL,13,28,TE,TE2,28
29,Tee Higgins,CIN,7,25,WR,WR14,29
30,Travis Etienne Jr.,JAX,9,25,RB,RB11,30
31,DK Metcalf,SEA,5,26,WR,WR15,31
32,Joe Mixon,CIN,7,27,RB,RB12,32
33,Calvin Ridley,JAX,9,29,WR,WR16,33
34,Jahmyr Gibbs,DET,9,22,RB,RB13,34
35,Lamar Jackson,BAL,13,27,QB,QB4,35
36,Deebo Samuel Sr.,SF,9,28,WR,WR17,36
37,Keenan Allen,LAC,5,32,WR,WR18,37
38,Aaron Jones,GB,6,29,RB,RB14,38
39,Amari Cooper,CLE,5,29,WR,WR19,39
40,Breece Hall,NYJ,7,23,RB,RB15,40
41,Joe Burrow,CIN,7,27,QB,QB5,41
42,Kenneth Walker III,SEA,5,23,RB,RB16,42
43,Jonathan Taylor,IND,11,25,RB,RB17,43
44,T.J. Hockenson,MIN,13,26,TE,TE3,44
45,Justin Herbert,LAC,5,26,QB,QB6,45
46,Justin Fields,CHI,13,25,QB,QB7,46
47,Dameon Pierce,HOU,7,24,RB,RB18,47
48,DJ Moore,CHI,13,27,WR,WR20,48
49,DeAndre Hopkins,TEN,7,31,WR,WR21,49
50,Miles Sanders,CAR,7,27,RB,RB19,50
51,Terry McLaurin,WAS,14,28,WR,WR22,51
52,Christian Watson,GB,6,25,WR,WR23,52
53,George Kittle,SF,9,30,TE,TE4,53
54,J.K. Dobbins,BAL,13,25,RB,RB20,54
55,Trevor Lawrence,JAX,9,24,QB,QB8,55
56,Alexander Mattison,MIN,13,25,RB,RB21,56
57,Drake London,ATL,11,22,WR,WR24,57
58,Mike Williams,LAC,5,29,WR,WR25,58
59,Cam Akers,LAR,10,24,RB,RB22,59
60,Darren Waller,NYG,13,31,TE,TE5,60
61,Chris Godwin,TB,5,28,WR,WR26,61
62,Jerry Jeudy,DEN,9,25,WR,WR27,62
63,Rachaad White,TB,5,25,RB,RB23,63
64,Dalvin Cook,NYJ,7,28,RB,RB24,64
65,Tyler Lockett,SEA,5,31,WR,WR28,65
66,Brandon Aiyuk,SF,9,26,WR,WR29,66
67,James Conner,ARI,14,29,RB,RB25,67
68,Christian Kirk,JAX,9,27,WR,WR30,68
69,Alvin Kamara,NO,11,28,RB,RB26,69
70,Javonte Williams,DEN,9,24,RB,RB27,70
71,Dallas Goedert,PHI,10,29,TE,TE6,71
72,Diontae Johnson,PIT,6,27,WR,WR31,72
73,Kyle Pitts,ATL,11,23,TE,TE7,73
74,D'Andre Swift,PHI,10,25,RB,RB28,74
75,James Cook,BUF,13,24,RB,RB29,75
76,Michael Pittman Jr.,IND,11,26,WR,WR32,76
77,Isiah Pacheco,KC,10,25,RB,RB30,77
78,Mike Evans,TB,5,30,WR,WR33,78
79,George Pickens,PIT,6,23,WR,WR34,79
80,David Montgomery,DET,9,26,RB,RB31,80
81,Marquise Brown,ARI,14,26,WR,WR35,81
82,Jahan Dotson,WAS,14,24,WR,WR36,82
83,Dak Prescott,DAL,7,30,QB,QB9,83
84,Jordan Addison,MIN,13,22,WR,WR37,84
85,Evan Engram,JAX,9,29,TE,TE8,85
86,AJ Dillon,GB,6,26,RB,RB32,86
87,Deshaun Watson,CLE,5,28,QB,QB10,87
88,Brandin Cooks,DAL,7,30,WR,WR38,88
89,Tua Tagovailoa,MIA,10,26,QB,QB11,89
90,Courtland Sutton,DEN,9,28,WR,WR39,90
91,Jaxon Smith-Njigba,SEA,5,22,WR,WR40,91
92,Khalil Herbert,CHI,13,26,RB,RB33,92
93,Pat Freiermuth,PIT,6,25,TE,TE9,93
94,Brian Robinson Jr.,WAS,14,25,RB,RB34,94
95,Antonio Gibson,WAS,14,25,RB,RB35,95
96,Gabe Davis,BUF,13,25,WR,WR41,96
97,Michael Thomas,NO,11,31,WR,WR42,97
98,David Njoku,CLE,5,27,TE,TE10,98
99,Jamaal Williams,NO,11,29,RB,RB36,99
100,San Francisco 49ers,SF,9,null,DST,DST1,100
101,JuJu Smith-Schuster,NE,11,27,WR,WR43,101
102,Zach Charbonnet,SEA,5,23,RB,RB37,102
103,Aaron Rodgers,NYJ,7,40,QB,QB12,103
104,Samaje Perine,DEN,9,28,RB,RB38,104
105,Daniel Jones,NYG,13,27,QB,QB13,105
106,Kirk Cousins,MIN,13,35,QB,QB14,106
107,Zay Flowers,BAL,13,23,WR,WR44,107
108,Treylon Burks,TEN,7,24,WR,WR45,108
109,Odell Beckham Jr.,BAL,13,31,WR,WR46,109
110,Kadarius Toney,KC,10,25,WR,WR47,110
111,Rashaad Penny,PHI,10,28,RB,RB39,111
112,Quentin Johnston,LAC,5,22,WR,WR48,112
113,Geno Smith,SEA,5,33,QB,QB15,113
114,Skyy Moore,KC,10,23,WR,WR49,114
115,Jerick McKinnon,KC,10,32,RB,RB40,115
116,Elijah Moore,CLE,5,24,WR,WR50,116
117,Anthony Richardson,IND,11,23,QB,QB16,117
118,Philadelphia Eagles,PHI,10,null,DST,DST2,118
119,Dalton Schultz,HOU,7,27,TE,TE11,119
120,De'Von Achane,MIA,10,22,RB,RB41,120
121,Elijah Mitchell,SF,9,26,RB,RB42,121
122,Damien Harris,BUF,13,27,RB,RB43,122
123,Adam Thielen,CAR,7,33,WR,WR51,123
124,Allen Lazard,NYJ,7,28,WR,WR52,124
125,Dallas Cowboys,DAL,7,null,DST,DST3,125
126,Justin Tucker,BAL,13,34,K,K1,126
127,Ezekiel Elliott,NE,11,28,RB,RB44,127
128,Buffalo Bills,BUF,13,null,DST,DST4,128
129,Jaylen Warren,PIT,6,25,RB,RB45,129
130,Jakobi Meyers,LV,13,27,WR,WR53,130
131,Rashod Bateman,BAL,13,24,WR,WR54,131
132,Jared Goff,DET,9,29,QB,QB17,132
133,Tyler Allgeier,ATL,11,24,RB,RB46,133
134,Raheem Mostert,MIA,10,32,RB,RB47,134
135,Dalton Kincaid,BUF,13,24,TE,TE12,135
136,Tyler Higbee,LAR,10,31,TE,TE13,136
137,Russell Wilson,DEN,9,35,QB,QB18,137
138,Jameson Williams,DET,9,23,WR,WR55,138
139,New England Patriots,NE,11,null,DST,DST5,139
140,Tank Bigsby,JAX,9,22,RB,RB48,140
141,Cole Kmet,CHI,13,25,TE,TE14,141
142,Juwan Johnson,NO,11,27,TE,TE15,142
143,Nico Collins,HOU,7,25,WR,WR56,143
144,Romeo Doubs,GB,6,24,WR,WR57,144
145,Daniel Carlson,LV,13,29,K,K2,145
146,Chigoziem Okonkwo,TEN,7,24,TE,TE16,146
147,Devin Singletary,HOU,7,26,RB,RB49,147
148,Jeff Wilson Jr.,MIA,10,28,RB,RB50,148
149,Tyler Boyd,CIN,7,29,WR,WR58,149
150,Kenneth Gainwell,PHI,10,25,RB,RB51,150
151,Greg Dulcich,DEN,9,24,TE,TE17,151
152,Baltimore Ravens,BAL,13,null,DST,DST6,152
153,Rondale Moore,ARI,14,23,WR,WR59,153
154,D'Onta Foreman,CHI,13,28,RB,RB52,154
155,Tyler Bass,BUF,13,27,K,K3,155
156,Zay Jones,JAX,9,29,WR,WR60,156
157,New York Jets,NYJ,7,null,DST,DST7,157
158,Kenny Pickett,PIT,6,25,QB,QB19,158
159,Darnell Mooney,CHI,13,26,WR,WR61,159
160,Harrison Butker,KC,10,28,K,K4,160
161,Derek Carr,NO,11,33,QB,QB20,161
162,Roschon Johnson,CHI,13,23,RB,RB53,162
163,Sam LaPorta,DET,9,23,TE,TE18,163
164,Pittsburgh Steelers,PIT,6,null,DST,DST8,164
165,New Orleans Saints,NO,11,null,DST,DST9,165
166,Dawson Knox,BUF,13,27,TE,TE19,166
167,Matthew Stafford,LAR,10,36,QB,QB21,167
168,K.J. Osborn,MIN,13,26,WR,WR62,168
169,Kendre Miller,NO,11,21,RB,RB54,169
170,Jalin Hyatt,NYG,13,22,WR,WR63,170
171,Younghoe Koo,ATL,11,29,K,K5,171
172,Gerald Everett,LAC,5,29,TE,TE20,172
173,Donovan Peoples-Jones,CLE,5,25,WR,WR64,173
174,Nick Folk,TEN,7,39,K,K6,174
175,Kansas City Chiefs,KC,10,null,DST,DST10,175
176,Green Bay Packers,GB,6,null,DST,DST11,176
177,Tyjae Spears,TEN,7,23,RB,RB55,177
178,Rashee Rice,KC,10,24,WR,WR65,178
179,Michael Gallup,DAL,7,28,WR,WR66,179
180,Miami Dolphins,MIA,10,null,DST,DST12,180
181,DJ Chark Jr.,CAR,7,27,WR,WR67,181
182,Cordarrelle Patterson,ATL,11,33,RB,RB56,182
183,Evan McPherson,CIN,7,24,K,K7,183
184,Bryce Young,CAR,7,22,QB,QB22,184
185,Jake Elliott,PHI,10,29,K,K8,185
186,Brock Purdy,SF,9,24,QB,QB23,186
187,Deuce Vaughn,DAL,7,22,RB,RB57,187
188,Kyler Murray,ARI,14,26,QB,QB24,188
189,Michael Mayer,LV,13,22,TE,TE21,189
190,Jacksonville Jaguars,JAX,9,null,DST,DST13,190
191,Jonathan Mingo,CAR,7,23,WR,WR68,191
192,Chuba Hubbard,CAR,7,24,RB,RB58,192
193,Jordan Love,GB,6,25,QB,QB25,193
194,Jason Myers,SEA,5,33,K,K9,194
195,Brandon McManus,JAX,9,32,K,K10,195
196,Gus Edwards,BAL,13,29,RB,RB59,196
197,Marquez Valdes-Scantling,KC,10,29,WR,WR69,197
198,Zamir White,LV,13,24,RB,RB60,198
199,Clyde Edwards-Helaire,KC,10,25,RB,RB61,199
200,Washington Commanders,WAS,14,null,DST,DST14,200
201,Irv Smith,CIN,7,25,TE,TE22,201
202,Taysom Hill,NO,11,33,QB,QB26,202
