player_display_name,position,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points_ppr
Aaron Rodgers,QB,NYJ,2023,1,REG,BUF,0,1,0.0,0,0.0,1.0,10.0,0,0,17.0,0.0,0.0,-2.0319597721099854,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Flacco,QB,CLE,2023,13,REG,LA,23,44,254.0,2,1.0,2.0,14.0,0,0,543.0,70.0,10.0,-7.791563987731934,0,0.4677716493606567,-0.0247723348438739,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.16
Joe Flacco,QB,CLE,2023,14,REG,JAX,26,45,311.0,3,1.0,1.0,4.0,1,1,334.0,158.0,11.0,-1.6544218063354492,0,0.93113774061203,0.0037993371952325,4,-1.0,0,0.0,0.0,1.0,-0.2038061171770095,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.34
Joe Flacco,QB,CLE,2023,15,REG,CHI,28,44,374.0,2,3.0,4.0,31.0,1,0,382.0,158.0,12.0,-17.39216423034668,0,0.9790576100349426,0.0144120464101433,1,-1.0,0,0.0,0.0,0.0,-0.4939349591732025,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.86
Joe Flacco,QB,CLE,2023,16,REG,HOU,27,42,368.0,3,2.0,0.0,-0.0,0,0,472.0,108.0,18.0,19.03298759460449,1,0.7796609997749329,0.2215394824743271,2,1.0,0,0.0,0.0,1.0,0.8027278184890747,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,24.82
Joe Flacco,QB,CLE,2023,17,REG,NYJ,19,29,309.0,3,1.0,1.0,8.0,1,0,179.0,184.0,9.0,6.197574138641357,0,1.7262569665908811,0.1528951674699783,2,3.0,0,1.0,0.0,1.0,-0.5749326944351196,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,22.66
Joe Flacco,QB,CLE,2023,19,POST,HOU,34,46,307.0,1,2.0,4.0,39.0,0,0,314.0,130.0,14.0,-17.759292602539062,0,0.977707028388977,0.0554586984217166,3,13.0,0,0.0,0.0,2.0,1.840030670166016,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.58
Matthew Stafford,QB,LAR,2023,1,REG,SEA,24,38,334.0,0,0.0,0.0,-0.0,0,0,409.0,106.0,17.0,20.679981231689453,0,0.8166258931159973,0.2171900570392608,3,11.0,0,0.0,0.0,1.0,0.8680859208106995,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.46
Matthew Stafford,QB,LAR,2023,2,REG,SF,34,55,307.0,1,2.0,1.0,10.0,0,0,363.0,144.0,17.0,-5.089192867279053,0,0.8457300066947937,-0.0297046210616827,4,17.0,0,0.0,0.0,1.0,-0.4383297264575958,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.98
Matthew Stafford,QB,LAR,2023,3,REG,CIN,18,33,269.0,1,2.0,6.0,48.0,0,0,317.0,99.0,12.0,-8.404789924621582,0,0.8485804200172424,-0.010766178369522,1,7.0,0,0.0,0.0,1.0,2.529576301574707,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.46
Matthew Stafford,QB,LAR,2023,4,REG,IND,27,40,319.0,1,1.0,2.0,16.0,0,0,297.0,114.0,16.0,11.374351501464844,0,1.0740740299224854,0.1709017753601074,2,14.0,0,0.0,0.0,0.0,3.2659969329833984,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.16
Matthew Stafford,QB,LAR,2023,5,REG,PHI,21,37,222.0,2,0.0,4.0,27.0,0,0,366.0,90.0,13.0,-2.5362610816955566,0,0.6065573692321777,-0.0145301613956689,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.88
Matthew Stafford,QB,LAR,2023,6,REG,ARI,15,24,226.0,1,0.0,3.0,23.0,0,0,191.0,84.0,7.0,3.271050214767456,0,1.1832460165023804,0.1065811961889267,1,2.0,0,0.0,0.0,0.0,-0.4594523310661316,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.24
