player_display_name,position,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points_ppr
Matthew Stafford,QB,LAR,2023,7,REG,PIT,14,29,231.0,1,1.0,2.0,12.0,0,0,263.0,112.0,8.0,-3.590840578079224,1,0.8783270120620728,-0.0558812245726585,1,8.0,0,0.0,0.0,1.0,1.741437911987305,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.04
Matthew Stafford,QB,LAR,2023,8,REG,DAL,13,22,162.0,1,1.0,1.0,9.0,0,0,152.0,93.0,6.0,-4.9787139892578125,0,1.0657894611358645,-0.015542384237051,1,9.0,0,0.0,0.0,0.0,0.7848165035247803,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,11.38
Matthew Stafford,QB,LAR,2023,11,REG,SEA,17,31,190.0,1,1.0,1.0,5.0,0,0,158.0,124.0,9.0,-4.574814796447754,0,1.2025316953659058,-0.0359123758971691,2,1.0,0,0.0,0.0,0.0,-0.5948397517204285,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.7
Matthew Stafford,QB,LAR,2023,12,REG,ARI,25,33,229.0,4,1.0,0.0,-0.0,0,0,192.0,129.0,16.0,13.204231262207031,0,1.1927083730697632,0.2489277720451355,1,2.0,0,0.0,0.0,0.0,-0.51743483543396,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,23.36
Matthew Stafford,QB,LAR,2023,13,REG,CLE,22,37,279.0,3,0.0,0.0,-0.0,0,0,292.0,148.0,10.0,5.3191237449646,0,0.9554794430732728,0.0988856554031372,1,-2.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,22.96
Matthew Stafford,QB,LAR,2023,14,REG,BAL,23,41,294.0,3,0.0,2.0,12.0,0,0,385.0,143.0,14.0,6.548730373382568,0,0.7636363506317139,0.1176557913422584,1,-1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,23.66
Matthew Stafford,QB,LAR,2023,15,REG,WAS,25,33,258.0,2,0.0,3.0,9.0,0,0,172.0,141.0,10.0,7.874736309051514,0,1.5,0.1692855060100555,1,2.0,0,0.0,0.0,0.0,-0.405033528804779,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18.52
Matthew Stafford,QB,LAR,2023,16,REG,NO,24,34,328.0,2,0.0,1.0,3.0,0,0,278.0,128.0,18.0,15.03451919555664,0,1.1798560619354248,0.2485576868057251,1,-4.0,0,0.0,0.0,0.0,-2.8091881275177,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.72
Matthew Stafford,QB,LAR,2023,17,REG,NYG,24,34,317.0,1,2.0,4.0,31.0,0,0,198.0,235.0,14.0,0.8999966382980347,0,1.6010100841522217,0.0714611336588859,1,-1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.58
Matthew Stafford,QB,LAR,2023,19,POST,DET,25,36,367.0,2,0.0,2.0,10.0,0,0,335.0,207.0,15.0,18.5760555267334,0,1.095522403717041,0.2385509610176086,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,22.68
Andy Dalton,QB,CAR,2023,3,REG,SEA,34,58,361.0,2,0.0,3.0,27.0,0,0,477.0,128.0,17.0,4.54832935333252,0,0.7568134069442749,0.0633122026920318,2,11.0,0,0.0,0.0,1.0,1.0509129762649536,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,23.54
Andy Dalton,QB,CAR,2023,5,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1.0,0,0.0,0.0,1.0,0.3775469660758972,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1
Tyrod Taylor,QB,NYG,2023,1,REG,DAL,2,2,6.0,0,0.0,0.0,-0.0,0,0,-10.0,16.0,0.0,-0.5446568727493286,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.24
Tyrod Taylor,QB,NYG,2023,3,REG,SF,0,1,0.0,0,0.0,0.0,-0.0,0,0,11.0,0.0,0.0,-0.6515430212020874,0,0.0,0.0,1,2.0,0,0.0,0.0,0.0,-0.1890627741813659,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2
Tyrod Taylor,QB,NYG,2023,5,REG,MIA,9,12,86.0,0,0.0,1.0,3.0,0,0,74.0,39.0,4.0,2.4409940242767334,0,1.162162184715271,0.2091586142778396,3,14.0,0,0.0,0.0,1.0,0.5676172971725464,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.84
Tyrod Taylor,QB,NYG,2023,6,REG,BUF,24,36,200.0,0,0.0,3.0,15.0,1,0,250.0,72.0,11.0,-2.130479097366333,0,0.800000011920929,0.0959952026605606,5,24.0,0,0.0,0.0,1.0,-0.2767326235771179,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.4
Tyrod Taylor,QB,NYG,2023,7,REG,WAS,18,29,279.0,2,0.0,4.0,29.0,0,0,318.0,114.0,10.0,4.930734634399414,0,0.8773584961891174,0.0930622518062591,8,25.0,0,0.0,0.0,2.0,0.1136801689863205,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,21.66
Tyrod Taylor,QB,NYG,2023,8,REG,NYJ,4,7,8.0,0,0.0,2.0,7.0,1,0,27.0,6.0,0.0,-10.34950065612793,0,0.2962962985038757,0.0524146370589733,5,33.0,0,0.0,0.0,1.0,-0.0721007734537124,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.62
Tyrod Taylor,QB,NYG,2023,15,REG,NO,2,4,13.0,0,0.0,0.0,-0.0,0,0,10.0,6.0,1.0,0.4000119566917419,0,1.2999999523162842,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.52
Tyrod Taylor,QB,NYG,2023,16,REG,PHI,7,16,133.0,1,1.0,0.0,-0.0,0,0,213.0,41.0,5.0,0.5316355228424072,0,0.6244131326675415,0.1204044818878173,2,21.0,0,0.0,0.0,1.0,2.5471792221069336,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.42
Tyrod Taylor,QB,NYG,2023,17,REG,LA,27,41,319.0,1,1.0,6.0,35.0,0,0,332.0,147.0,8.0,-2.0617291927337646,0,0.9608433842658995,0.0324287824332714,6,40.0,0,1.0,0.0,2.0,-2.108267307281494,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18.76
Tyrod Taylor,QB,NYG,2023,18,REG,PHI,23,32,297.0,1,1.0,1.0,5.0,0,0,316.0,137.0,13.0,9.550548553466797,0,0.9398733973503112,0.1703188866376876,8,38.0,0,1.0,0.0,2.0,-0.9951496124267578,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,17.68
Case Keenum,QB,HOU,2023,15,REG,TEN,23,36,229.0,1,1.0,3.0,27.0,0,0,276.0,103.0,12.0,-2.534054517745972,0,0.8297101259231567,0.0463994331657886,2,1.0,0,1.0,0.0,0.0,-1.6509333848953247,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.26
Case Keenum,QB,HOU,2023,16,REG,CLE,11,17,62.0,0,2.0,3.0,33.0,0,0,101.0,43.0,2.0,-18.11727523803711,0,0.6138613820075989,-0.0059803943149745,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.52
Russell Wilson,QB,DEN,2023,1,REG,LV,27,34,177.0,2,0.0,2.0,11.0,0,0,137.0,78.0,11.0,2.3555383682250977,0,1.2919708490371704,0.2005134373903274,1,1.0,0,0.0,0.0,0.0,-0.603321373462677,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15.18
Russell Wilson,QB,DEN,2023,2,REG,WAS,18,32,308.0,3,1.0,7.0,31.0,1,1,300.0,110.0,8.0,3.3465051651000977,0,1.0266666412353516,0.1483383178710937,6,56.0,0,0.0,0.0,6.0,6.462871551513672,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,25.92
Russell Wilson,QB,DEN,2023,3,REG,MIA,23,38,306.0,1,1.0,1.0,12.0,0,0,412.0,123.0,13.0,2.208718776702881,0,0.7427184581756592,0.0859506875276565,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.24
Russell Wilson,QB,DEN,2023,4,REG,CHI,21,28,223.0,3,0.0,1.0,9.0,0,0,179.0,137.0,9.0,14.218062400817873,0,1.2458100318908691,0.2868691086769104,4,13.0,0,0.0,0.0,2.0,1.3705719709396362,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,22.22
Russell Wilson,QB,DEN,2023,5,REG,NYJ,20,31,196.0,2,0.0,4.0,27.0,1,1,177.0,148.0,10.0,-10.412276268005373,0,1.107344627380371,0.0457343347370624,7,49.0,0,1.0,0.0,2.0,2.825169324874878,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18.74
Russell Wilson,QB,DEN,2023,6,REG,KC,13,22,95.0,1,2.0,4.0,13.0,0,0,117.0,58.0,4.0,-18.29859161376953,0,0.811965823173523,-0.0330532826483249,4,31.0,0,0.0,0.0,3.0,3.68329381942749,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.9
Russell Wilson,QB,DEN,2023,7,REG,GB,20,29,194.0,1,0.0,1.0,-0.0,0,0,227.0,88.0,9.0,4.0957136154174805,0,0.8546255230903625,0.2111402601003646,1,21.0,0,0.0,0.0,1.0,0.9398773312568665,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.86
Russell Wilson,QB,DEN,2023,8,REG,KC,12,19,114.0,3,0.0,6.0,27.0,2,1,127.0,72.0,7.0,-4.84478759765625,0,0.8976377844810486,0.0473685376346111,8,30.0,0,0.0,0.0,4.0,1.852865219116211,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,17.56
Russell Wilson,QB,DEN,2023,10,REG,BUF,24,29,193.0,2,0.0,4.0,15.0,0,0,100.0,116.0,12.0,5.758063316345215,0,1.9299999475479128,0.1920138299465179,9,30.0,0,0.0,0.0,3.0,1.3275541067123413,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18.72
Russell Wilson,QB,DEN,2023,11,REG,MIN,27,35,259.0,1,0.0,2.0,10.0,0,0,233.0,177.0,11.0,1.486098289489746,0,1.1115880012512207,0.1240908354520797,2,1.0,0,0.0,0.0,1.0,-2.0626163482666016,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.46
Russell Wilson,QB,DEN,2023,12,REG,CLE,13,22,134.0,1,0.0,1.0,9.0,0,0,122.0,67.0,5.0,4.4542412757873535,0,1.0983606576919556,0.094631552696228,11,34.0,1,2.0,1.0,3.0,-1.6411926746368408,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.76
Russell Wilson,QB,DEN,2023,13,REG,HOU,15,26,186.0,1,3.0,3.0,22.0,0,0,335.0,88.0,5.0,-14.96811866760254,0,0.5552238821983337,0.0397738739848136,10,44.0,1,0.0,0.0,4.0,4.247920036315918,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15.84
Russell Wilson,QB,DEN,2023,14,REG,LAC,21,33,224.0,2,1.0,2.0,8.0,0,0,167.0,184.0,9.0,-2.215620517730713,0,1.3413174152374268,0.026201844215393,6,5.0,0,0.0,0.0,2.0,-3.904305219650269,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15.46
Russell Wilson,QB,DEN,2023,15,REG,DET,18,32,223.0,1,0.0,2.0,19.0,1,1,232.0,137.0,12.0,-2.39298152923584,0,0.9612069129943848,0.0515360310673713,7,6.0,1,0.0,0.0,3.0,0.0594629906117916,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,17.52
Russell Wilson,QB,DEN,2023,16,REG,NE,25,37,238.0,2,0.0,5.0,45.0,2,0,324.0,152.0,10.0,-1.1267621517181396,2,0.7345678806304932,0.0716762244701385,4,20.0,0,0.0,0.0,4.0,3.0075109004974365,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,23.52
Kirk Cousins,QB,MIN,2023,1,REG,TB,33,44,344.0,2,1.0,2.0,16.0,1,1,298.0,145.0,15.0,0.3236897885799408,0,1.154362440109253,0.0649353712797164,3,7.0,0,1.0,1.0,1.0,-5.517632484436035,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.46
Kirk Cousins,QB,MIN,2023,2,REG,PHI,31,44,364.0,4,0.0,2.0,18.0,1,1,399.0,155.0,19.0,17.48133659362793,0,0.9122806787490844,0.2286208719015121,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,28.56
Kirk Cousins,QB,MIN,2023,3,REG,LAC,32,50,367.0,3,1.0,4.0,22.0,0,0,397.0,149.0,15.0,1.42024028301239,0,0.9244332313537598,0.0951682180166244,1,10.0,0,0.0,0.0,0.0,2.6894993782043457,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,25.68
Kirk Cousins,QB,MIN,2023,4,REG,CAR,12,19,139.0,2,2.0,2.0,9.0,0,0,167.0,47.0,9.0,-10.878063201904297,0,0.832335352897644,0.0390860252082347,1,0.0,0,1.0,0.0,0.0,-0.6480919718742371,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.56
Kirk Cousins,QB,MIN,2023,5,REG,KC,29,47,284.0,2,0.0,3.0,25.0,0,0,355.0,137.0,15.0,2.568145990371704,0,0.800000011920929,0.0581118762493133,3,5.0,0,0.0,0.0,3.0,1.4633170366287231,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19.86
Kirk Cousins,QB,MIN,2023,6,REG,CHI,21,31,181.0,1,0.0,2.0,7.0,2,1,189.0,81.0,8.0,-6.169656276702881,0,0.9576719403266908,0.0320730842649936,2,-5.0,0,0.0,0.0,1.0,2.1001176834106445,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.74
Kirk Cousins,QB,MIN,2023,7,REG,SF,35,45,378.0,2,1.0,0.0,-0.0,0,0,249.0,175.0,18.0,12.85741901397705,0,1.518072247505188,0.2260163277387619,2,-1.0,0,0.0,0.0,0.0,-0.2063834220170974,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,21.02
Kirk Cousins,QB,MIN,2023,8,REG,GB,23,31,274.0,2,0.0,2.0,13.0,0,0,198.0,107.0,13.0,19.49993324279785,0,1.383838415145874,0.3170985579490661,2,9.0,0,0.0,0.0,1.0,1.8065422773361208,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19.86
Adam Thielen,WR,CAR,2023,1,REG,ATL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,2,12.0,0,0.0,0.0,9.0,3.0,1.0,0.757165253162384,0,1.3333333730697632,0.0645161271095275,0.039473682641983,0.1244057714939117,0.0,3.2
Adam Thielen,WR,CAR,2023,2,REG,NO,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,7,9,54.0,1,0.0,0.0,59.0,24.0,4.0,2.1747405529022217,1,0.9152542352676392,0.2903225719928741,0.2796208560466766,0.6312184929847717,0.0,20.4
Adam Thielen,WR,CAR,2023,3,REG,SEA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,11,14,145.0,1,0.0,0.0,138.0,40.0,9.0,13.134859085083008,0,1.0507246255874634,0.2456140369176864,0.2955031991004944,0.5752732753753662,0.0,31.5
Adam Thielen,WR,CAR,2023,4,REG,MIN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,6.0,0,0.0,0.0,0.0,0.2364210188388824,0,7,8,76.0,0,0.0,0.0,49.0,38.0,4.0,4.06229305267334,0,1.5510203838348389,0.2580645084381103,0.4900000095367431,0.7300967574119568,0.0,15.2
Adam Thielen,WR,CAR,2023,5,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,11,13,107.0,1,0.0,0.0,86.0,48.0,7.0,10.883130073547363,0,1.2441860437393188,0.3714285790920257,0.35537189245224,0.8059031963348389,0.0,27.7
Adam Thielen,WR,CAR,2023,6,REG,MIA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,11,13,115.0,1,0.0,0.0,120.0,24.0,8.0,9.15373706817627,0,0.9583333134651184,0.3714285790920257,0.4210526347160339,0.8518797159194946,0.0,28.5
Adam Thielen,WR,CAR,2023,8,REG,HOU,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,8,11,72.0,0,0.0,0.0,52.0,34.0,2.0,0.0436881519854068,0,1.384615421295166,0.3548386991024017,0.2653061151504516,0.7179723381996155,0.0,15.2
Adam Thielen,WR,CAR,2023,9,REG,IND,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,6,29.0,0,0.0,0.0,29.0,10.0,1.0,0.4215810000896454,0,1.0,0.1621621549129486,0.1870967745780944,0.3742109835147857,0.0,7.9
Adam Thielen,WR,CAR,2023,10,REG,CHI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,6,10,42.0,0,0.0,0.0,36.0,24.0,2.0,-1.996038794517517,0,1.1666666269302368,0.294117659330368,0.1578947305679321,0.5517027974128723,0.0,10.2
Adam Thielen,WR,CAR,2023,11,REG,DAL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,8,11,74.0,0,1.0,0.0,92.0,24.0,5.0,10.040897369384766,0,0.804347813129425,0.4230769276618957,0.4693877696990967,0.9631868004798888,0.0,15.4
Adam Thielen,WR,CAR,2023,12,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,3,2.0,0,0.0,0.0,30.0,0.0,0.0,-1.794289469718933,0,0.0666666701436042,0.125,0.1898734122514724,0.3204113841056824,0.0,1.2
Adam Thielen,WR,CAR,2023,13,REG,TB,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,6,25.0,0,0.0,0.0,72.0,3.0,2.0,0.4041135311126709,0,0.3472222089767456,0.2307692319154739,0.2457337826490402,0.5181674957275391,0.0,5.5
