Rank,Name,Team,ByeWeek,Position,PositionRank,AverageDraftPositionPPR,Status
1,Justin Jefferson,MIN,13,WR,WR1,1,ACT
2,Christian McCaffrey,SF,9,RB,RB1,2,ACT
3,Ja'Marr Chase,CIN,7,WR,WR2,3,ACT
4,Austin Ekeler,LAC,5,RB,RB2,4,ACT
5,Tyreek Hill,MIA,10,WR,WR3,5,ACT
6,Travis Kelce,KC,10,TE,TE1,6,INA
7,Cooper Kupp,LAR,10,WR,WR4,7,RES
8,Bijan Robinson,ATL,11,RB,RB3,8,ACT
9,Saquon Barkley,NYG,13,RB,RB4,9,ACT
10,Stefon Diggs,BUF,13,WR,WR5,10,ACT
11,CeeDee Lamb,DAL,7,WR,WR6,11,ACT
12,Nick Chubb,CLE,5,RB,RB5,12,ACT
13,AJ Brown,PHI,10,WR,WR7,13,ACT
14,Davante Adams,LV,13,WR,WR8,14,ACT
15,Tony Pollard,DAL,7,RB,RB6,15,ACT
16,Amon-Ra St Brown,DET,9,WR,WR9,16,ACT
17,Garrett Wilson,NYJ,7,WR,WR10,17,ACT
18,Derrick Henry,TEN,7,RB,RB7,18,ACT
19,Patrick Mahomes,KC,10,QB,QB1,19,ACT
20,Josh Jacobs,LV,13,RB,RB8,20,ACT
21,Josh Allen,BUF,13,QB,QB2,21,ACT
22,Jaylen Waddle,MIA,10,WR,WR11,22,ACT
23,Chris Olave,NO,11,WR,WR12,23,ACT
24,Jalen Hurts,PHI,10,QB,QB3,24,ACT
25,DeVonta Smith,PHI,10,WR,WR13,25,ACT
26,Rhamondre Stevenson,NE,11,RB,RB9,26,ACT
27,Najee Harris,PIT,6,RB,RB10,27,ACT
28,Mark Andrews,BAL,13,TE,TE2,28,INA
29,Tee Higgins,CIN,7,WR,WR14,29,ACT
30,Travis Etienne,JAX,9,RB,RB11,30,ACT
31,DK Metcalf,SEA,5,WR,WR15,31,ACT
32,Joe Mixon,CIN,7,RB,RB12,32,ACT
33,Calvin Ridley,JAX,9,WR,WR16,33,ACT
34,Jahmyr Gibbs,DET,9,RB,RB13,34,ACT
35,Lamar Jackson,BAL,13,QB,QB4,35,ACT
36,Deebo Samuel,SF,9,WR,WR17,36,ACT
37,Keenan Allen,LAC,5,WR,WR18,37,ACT
38,Aaron Jones,GB,6,RB,RB14,38,ACT
39,Amari Cooper,CLE,5,WR,WR19,39,ACT
40,Breece Hall,NYJ,7,RB,RB15,40,ACT
41,Joe Burrow,CIN,7,QB,QB5,41,ACT
42,Kenneth Walker,SEA,5,RB,RB16,42,ACT
43,Jonathan Taylor,IND,11,RB,RB17,43,RES
44,TJ Hockenson,MIN,13,TE,TE3,44,ACT
45,Justin Herbert,LAC,5,QB,QB6,45,ACT
