Rank,Name,Team,ByeWeek,Position,PositionRank,AverageDraftPositionPPR,Status
46,Justin Fields,CHI,13,QB,QB7,46,ACT
47,Dameon Pierce,HOU,7,RB,RB18,47,ACT
48,DJ Moore,CHI,13,WR,WR20,48,ACT
49,DeAndre Hopkins,TEN,7,WR,WR21,49,ACT
50,Miles Sanders,CAR,7,RB,RB19,50,ACT
51,Terry McLaurin,WAS,14,WR,WR22,51,ACT
52,Christian Watson,GB,6,WR,WR23,52,INA
53,George Kittle,SF,9,TE,TE4,53,ACT
54,JK Dobbins,BAL,13,RB,RB20,54,ACT
55,Trevor Lawrence,JAX,9,QB,QB8,55,ACT
56,Alexander Mattison,MIN,13,RB,RB21,56,ACT
57,Drake London,ATL,11,WR,WR24,57,ACT
58,Mike Williams,LAC,5,WR,WR25,58,ACT
59,Cam Akers,LAR,10,RB,RB22,59,ACT
60,Darren Waller,NYG,13,TE,TE5,60,ACT
61,Chris Godwin,TB,5,WR,WR26,61,ACT
62,Jerry Jeudy,DEN,9,WR,WR27,62,INA
63,Rachaad White,TB,5,RB,RB23,63,ACT
64,Dalvin Cook,NYJ,7,RB,RB24,64,ACT
65,Tyler Lockett,SEA,5,WR,WR28,65,ACT
66,Brandon Aiyuk,SF,9,WR,WR29,66,ACT
67,James Conner,ARI,14,RB,RB25,67,ACT
68,Christian Kirk,JAX,9,WR,WR30,68,ACT
69,Alvin Kamara,NO,11,RB,RB26,69,RES
70,Javonte Williams,DEN,9,RB,RB27,70,ACT
71,Dallas Goedert,PHI,10,TE,TE6,71,ACT
72,Diontae Johnson,PIT,6,WR,WR31,72,ACT
73,Kyle Pitts,ATL,11,TE,TE7,73,ACT
74,D'Andre Swift,PHI,10,RB,RB28,74,ACT
75,James Cook,BUF,13,RB,RB29,75,ACT
76,Michael Pittman,IND,11,WR,WR32,76,ACT
77,Isiah Pacheco,KC,10,RB,RB30,77,ACT
78,Mike Evans,TB,5,WR,WR33,78,ACT
79,George Pickens,PIT,6,WR,WR34,79,ACT
80,David Montgomery,DET,9,RB,RB31,80,ACT
81,Marquise Brown,ARI,14,WR,WR35,81,ACT
82,Jahan Dotson,WAS,14,WR,WR36,82,ACT
83,Dak Prescott,DAL,7,QB,QB9,83,ACT
84,Jordan Addison,MIN,13,WR,WR37,84,ACT
85,Evan Engram,JAX,9,TE,TE8,85,ACT
86,AJ Dillon,GB,6,RB,RB32,86,ACT
87,Deshaun Watson,CLE,5,QB,QB10,87,ACT
88,Brandin Cooks,DAL,7,WR,WR38,88,ACT
89,Tua Tagovailoa,MIA,10,QB,QB11,89,ACT
90,Courtland Sutton,DEN,9,WR,WR39,90,ACT
91,Jaxon Smith-Njigba,SEA,5,WR,WR40,91,ACT
92,Khalil Herbert,CHI,13,RB,RB33,92,ACT
93,Pat Freiermuth,PIT,6,TE,TE9,93,ACT
94,Brian Robinson,WAS,14,RB,RB34,94,ACT
95,Antonio Gibson,WAS,14,RB,RB35,95,ACT
96,Gabe Davis,BUF,13,WR,WR41,96,ACT
97,Michael Thomas,NO,11,WR,WR42,97,ACT
98,David Njoku,CLE,5,TE,TE10,98,ACT
99,Jamaal Williams,NO,11,RB,RB36,99,ACT
100,San Francisco 49ers,SF,9,DST,DST1,100,ACT
101,JuJu Smith-Schuster,NE,11,WR,WR43,101,ACT
102,Zach Charbonnet,SEA,5,RB,RB37,102,ACT
103,Aaron Rodgers,NYJ,7,QB,QB12,103,ACT
104,Samaje Perine,DEN,9,RB,RB38,104,ACT
105,Daniel Jones,NYG,13,QB,QB13,105,ACT
106,Kirk Cousins,MIN,13,QB,QB14,106,ACT
107,Zay Flowers,BAL,13,WR,WR44,107,ACT
108,Treylon Burks,TEN,7,WR,WR45,108,ACT
109,Odell Beckham,BAL,13,WR,WR46,109,ACT
110,Kadarius Toney,KC,10,WR,WR47,110,ACT
111,Rashaad Penny,PHI,10,RB,RB39,111,INA
112,Quentin Johnston,LAC,5,WR,WR48,112,ACT
113,Geno Smith,SEA,5,QB,QB15,113,ACT
114,Skyy Moore,KC,10,WR,WR49,114,ACT
115,Jerick McKinnon,KC,10,RB,RB40,115,ACT
116,Elijah Moore,CLE,5,WR,WR50,116,ACT
117,Anthony Richardson,IND,11,QB,QB16,117,ACT
118,Philadelphia Eagles,PHI,10,DST,DST2,118,ACT
119,Dalton Schultz,HOU,7,TE,TE11,119,ACT
120,De'Von Achane,MIA,10,RB,RB41,120,INA
121,Elijah Mitchell,SF,9,RB,RB42,121,ACT
122,Damien Harris,BUF,13,RB,RB43,122,ACT
123,Adam Thielen,CAR,7,WR,WR51,123,ACT
124,Allen Lazard,NYJ,7,WR,WR52,124,ACT
125,Dallas Cowboys,DAL,7,DST,DST3,125,ACT
126,Justin Tucker,BAL,13,K,K1,126,ACT
127,Ezekiel Elliott,NE,11,RB,RB44,127,ACT
128,Buffalo Bills,BUF,13,DST,DST4,128,ACT
129,Jaylen Warren,PIT,6,RB,RB45,129,ACT
130,Jakobi Meyers,LV,13,WR,WR53,130,ACT
131,Rashod Bateman,BAL,13,WR,WR54,131,ACT
132,Jared Goff,DET,9,QB,QB17,132,ACT
133,Tyler Allgeier,ATL,11,RB,RB46,133,ACT
134,Raheem Mostert,MIA,10,RB,RB47,134,ACT
135,Dalton Kincaid,BUF,13,TE,TE12,135,ACT
136,Tyler Higbee,LAR,10,TE,TE13,136,ACT
137,Russell Wilson,DEN,9,QB,QB18,137,ACT
138,Jameson Williams,DET,9,WR,WR55,138,RES
139,New England Patriots,NE,11,DST,DST5,139,ACT
140,Tank Bigsby,JAX,9,RB,RB48,140,ACT
141,Cole Kmet,CHI,13,TE,TE14,141,ACT
142,Juwan Johnson,NO,11,TE,TE15,142,ACT
143,Nico Collins,HOU,7,WR,WR56,143,ACT
144,Romeo Doubs,GB,6,WR,WR57,144,ACT
145,Daniel Carlson,LV,13,K,K2,145,ACT
146,Chigoziem Okonkwo,TEN,7,TE,TE16,146,ACT
147,Devin Singletary,HOU,7,RB,RB49,147,ACT
148,Jeff Wilson,MIA,10,RB,RB50,148,RES
149,Tyler Boyd,CIN,7,WR,WR58,149,ACT
150,Kenneth Gainwell,PHI,10,RB,RB51,150,ACT
151,Greg Dulcich,DEN,9,TE,TE17,151,ACT
152,Baltimore Ravens,BAL,13,DST,DST6,152,ACT
153,Rondale Moore,ARI,14,WR,WR59,153,ACT
154,D'Onta Foreman,CHI,13,RB,RB52,154,ACT
155,Tyler Bass,BUF,13,K,K3,155,ACT
156,Zay Jones,JAX,9,WR,WR60,156,ACT
157,New York Jets,NYJ,7,DST,DST7,157,ACT
158,Kenny Pickett,PIT,6,QB,QB19,158,ACT
159,Darnell Mooney,CHI,13,WR,WR61,159,ACT
160,Harrison Butker,KC,10,K,K4,160,ACT
161,Derek Carr,NO,11,QB,QB20,161,ACT
162,Roschon Johnson,CHI,13,RB,RB53,162,ACT
163,Sam LaPorta,DET,9,TE,TE18,163,ACT
164,Pittsburgh Steelers,PIT,6,DST,DST8,164,ACT
165,New Orleans Saints,NO,11,DST,DST9,165,ACT
166,Dawson Knox,BUF,13,TE,TE19,166,ACT
167,Matthew Stafford,LAR,10,QB,QB21,167,ACT
168,KJ Osborn,MIN,13,WR,WR62,168,ACT
169,Kendre Miller,NO,11,RB,RB54,169,INA
170,Jalin Hyatt,NYG,13,WR,WR63,170,ACT
171,Younghoe Koo,ATL,11,K,K5,171,ACT
172,Gerald Everett,LAC,5,TE,TE20,172,ACT
173,Donovan Peoples-Jones,CLE,5,WR,WR64,173,ACT
174,Nick Folk,TEN,7,K,K6,174,ACT
175,Kansas City Chiefs,KC,10,DST,DST10,175,ACT
176,Green Bay Packers,GB,6,DST,DST11,176,ACT
177,Tyjae Spears,TEN,7,RB,RB55,177,ACT
178,Rashee Rice,KC,10,WR,WR65,178,ACT
179,Michael Gallup,DAL,7,WR,WR66,179,ACT
180,Miami Dolphins,MIA,10,DST,DST12,180,ACT
181,DJ Chark,CAR,7,WR,WR67,181,INA
182,Cordarrelle Patterson,ATL,11,RB,RB56,182,INA
183,Evan McPherson,CIN,7,K,K7,183,ACT
184,Bryce Young,CAR,7,QB,QB22,184,ACT
185,Jake Elliott,PHI,10,K,K8,185,ACT
186,Brock Purdy,SF,9,QB,QB23,186,ACT
187,Deuce Vaughn,DAL,7,RB,RB57,187,ACT
188,Kyler Murray,ARI,14,QB,QB24,188,RES
189,Michael Mayer,LV,13,TE,TE21,189,ACT
190,Jacksonville Jaguars,JAX,9,DST,DST13,190,ACT
191,Jonathan Mingo,CAR,7,WR,WR68,191,ACT
192,Chuba Hubbard,CAR,7,RB,RB58,192,ACT
193,Jordan Love,GB,6,QB,QB25,193,ACT
194,Jason Myers,SEA,5,K,K9,194,ACT
195,Brandon McManus,JAX,9,K,K10,195,ACT
196,Gus Edwards,BAL,13,RB,RB59,196,ACT
197,Marquez Valdes-Scantling,KC,10,WR,WR69,197,ACT
198,Zamir White,LV,13,RB,RB60,198,ACT
199,Clyde Edwards-Helaire,KC,10,RB,RB61,199,ACT
200,Washington Commanders,WAS,14,DST,DST14,200,ACT
201,Irv Smith,CIN,7,TE,TE22,201,ACT
202,Taysom Hill,NO,11,QB,QB26,202,ACT
203,Denver Broncos,DEN,9,DST,DST15,203,ACT
204,Luke Musgrave,GB,6,TE,TE23,204,ACT
205,Marvin Mims,DEN,9,WR,WR70,205,ACT
206,Mike Gesicki,NE,11,TE,TE24,206,ACT
207,Jake Ferguson,DAL,7,TE,TE25,207,ACT
208,Hunter Renfrow,LV,13,WR,WR71,208,ACT
209,Cameron Dicker,LAC,5,K,K11,209,NA
210,Jerome Ford,CLE,5,RB,RB62,210,ACT
211,Alec Pierce,IND,11,WR,WR72,211,ACT
212,Parris Campbell,NYG,13,WR,WR73,213,ACT
213,Cincinnati Bengals,CIN,7,DST,DST16,214,ACT
214,Jake Moody,SF,9,K,K12,215,ACT
215,Ty Chandler,MIN,13,RB,RB63,216,ACT
216,Matt Gay,IND,11,K,K13,217,ACT
217,Sam Howell,WAS,14,QB,QB27,218,ACT
218,Isaiah Hodgins,NYG,13,WR,WR74,219,ACT
219,Jason Sanders,MIA,10,K,K14,220,ACT
220,Graham Gano,NYG,13,K,K15,222,ACT
221,Zach Ertz,ARI,14,TE,TE26,223,ACT
222,Joshua Kelley,LAC,5,RB,RB64,224,ACT
223,CJ Stroud,HOU,7,QB,QB28,225,ACT
224,Curtis Samuel,WAS,14,WR,WR75,226,ACT
225,Greg Zuerlein,NYJ,7,K,K16,227,ACT
226,Jayden Reed,GB,6,WR,WR76,228,ACT
227,Jimmy Garoppolo,LV,13,QB,QB29,229,ACT
228,Hayden Hurst,CAR,7,TE,TE27,230,ACT
229,Seattle Seahawks,SEA,5,DST,DST17,231,ACT
230,Tank Dell,HOU,7,WR,WR77,232,ACT
231,Cleveland Browns,CLE,5,DST,DST18,233,ACT
232,Deon Jackson,IND,11,RB,RB65,234,ACT
233,Van Jefferson,LAR,10,WR,WR78,235,ACT
234,Justyn Ross,KC,10,WR,WR79,236,ACT
235,Wan'Dale Robinson,NYG,13,WR,WR80,237,INA
236,Tyler Conklin,NYJ,7,TE,TE28,238,ACT
237,Hunter Henry,NE,11,TE,TE29,239,ACT
238,Chase Claypool,CHI,13,WR,WR81,240,ACT
239,Terrace Marshall,CAR,7,WR,WR82,241,ACT
240,Rashid Shaheed,NO,11,WR,WR83,242,ACT
241,Mac Jones,NE,11,QB,QB30,243,ACT
242,Chase Edmonds,TB,5,RB,RB66,244,ACT
243,Darius Slayton,NYG,13,WR,WR84,245,ACT
244,Zack Moss,IND,11,RB,RB67,246,INA
245,New York Giants,NYG,13,DST,DST19,247,ACT
246,Noah Fant,SEA,5,TE,TE30,248,ACT
247,Pierre Strong,CLE,5,RB,RB68,249,ACT
248,Minnesota Vikings,MIN,13,DST,DST20,250,ACT
249,Los Angeles Chargers,LAC,5,DST,DST21,251,ACT
250,Ryan Tannehill,TEN,7,QB,QB31,252,ACT
251,Detroit Lions,DET,9,DST,DST22,253,ACT
252,John Metchie,HOU,7,WR,WR85,254,INA
253,Kyren Williams,LAR,10,RB,RB69,255,ACT
254,Chase Brown,CIN,7,RB,RB70,256,INA
255,Zach Evans,LAR,10,RB,RB71,257,INA
256,Josh Downs,IND,11,WR,WR86,258,ACT
257,Carolina Panthers,CAR,7,DST,DST23,259,ACT
258,Joshua Palmer,LAC,5,WR,WR87,260,NA
259,Isaiah Likely,BAL,13,TE,TE31,261,ACT
260,Richie James,KC,10,WR,WR88,262,ACT
261,Baker Mayfield,TB,5,QB,QB32,263,ACT
262,Michael Carter,NYJ,7,RB,RB72,264,ACT
263,Evan Hull,IND,11,RB,RB73,265,ACT
264,Mecole Hardman,NYJ,7,WR,WR89,266,ACT
265,Tyquan Thornton,NE,11,WR,WR90,267,RES
266,Khalil Shakir,BUF,13,WR,WR91,268,ACT
267,Los Angeles Rams,LAR,10,DST,DST24,269,ACT
268,Robert Woods,HOU,7,WR,WR92,270,ACT
269,Sean Tucker,TB,5,RB,RB74,271,ACT
270,Greg Joseph,MIN,13,K,K17,272,ACT
271,Trey McBride,ARI,14,TE,TE32,274,ACT
272,Chicago Bears,CHI,13,DST,DST25,275,ACT
273,Las Vegas Raiders,LV,13,DST,DST26,276,ACT
274,DeVante Parker,NE,11,WR,WR93,277,INA
275,Laviska Shenault,CAR,7,WR,WR94,278,ACT
276,Latavius Murray,BUF,13,RB,RB75,279,ACT
277,Riley Patterson,DET,9,K,K18,280,ACT
278,Allen Robinson,PIT,6,WR,WR95,281,ACT
279,Isaiah Spiller,LAC,5,RB,RB76,282,INA
280,DeWayne McBride,MIN,13,RB,RB77,283,DEV
281,Will Levis,TEN,7,QB,QB33,284,INA
282,Matt Breida,NYG,13,RB,RB78,286,ACT
283,Brett Maher,LAR,10,K,K19,287,ACT
284,Arizona Cardinals,ARI,14,DST,DST27,288,ACT
285,Darnell Washington,PIT,6,TE,TE33,289,ACT
286,Malik Davis,DAL,7,RB,RB79,290,DEV
287,Desmond Ridder,ATL,11,QB,QB34,291,ACT
288,James Robinson,NYG,13,RB,RB80,292,CUT
289,Mack Hollins,ATL,11,WR,WR96,293,ACT
290,Trey Lance,DAL,7,QB,QB35,294,INA
291,Tampa Bay Buccaneers,TB,5,DST,DST28,295,ACT
292,Greg Dortch,ARI,14,WR,WR97,296,ACT
293,Indianapolis Colts,IND,11,DST,DST29,297,ACT
295,Jelani Woods,IND,11,TE,TE34,299,RES
296,Tennessee Titans,TEN,7,DST,DST30,300,ACT
297,Atlanta Falcons,ATL,11,DST,DST31,301,ACT
298,Mike White,MIA,10,QB,QB36,302,ACT
299,Jacob Copeland,MIN,13,WR,WR98,303,CUT
300,Calvin Austin,PIT,6,WR,WR99,304,ACT
301,Cade York,TEN,7,K,K20,305,DEV
302,Andy Dalton,CAR,7,QB,QB37,306,ACT
303,Keaontayngram,ARI,14,RB,RB82,307,ACT
304,Cade Otton,TB,5,TE,TE35,308,ACT
305,Kendrick Bourne,NE,11,WR,WR100,309,ACT
306,JaMycal Hasty,JAX,9,RB,RB83,310,NA
307,Zonovan Knight,DET,9,RB,RB84,311,DEV
308,Rico Dowdle,DAL,7,RB,RB85,312,ACT
309,Jake Verity,TB,5,K,K21,313,NA
310,Davis Mills,HOU,7,QB,QB38,314,ACT
311,Houston Texans,HOU,7,DST,DST32,315,ACT
312,Chris Evans,CIN,7,RB,RB86,316,ACT
313,Boston Scott,PHI,10,RB,RB87,317,ACT
314,Ty Montgomery,NE,11,WR,WR101,318,ACT
315,Michael Wilson,ARI,14,WR,WR102,319,ACT
316,Michael Badgley,DET,9,K,K22,320,DEV
317,Marvin Jones,DET,9,WR,WR103,321,ACT
318,Hassan Haskins,TEN,7,RB,RB88,322,EXE
319,Daniel Bellinger,NYG,13,TE,TE36,323,ACT
320,Melvin Gordon,BAL,13,RB,RB89,324,DEV
321,Trayveon Williams,CIN,7,RB,RB90,325,ACT
322,Trey Palmer,TB,5,WR,WR104,326,ACT
323,Puka Nacua,LAR,10,WR,WR105,327,ACT
324,Robert Tonyan,CHI,13,TE,TE37,328,ACT
325,Logan Thomas,WAS,14,TE,TE38,329,ACT
328,Ronald Jones,DAL,7,RB,RB92,332,RES
329,Jacoby Brissett,WAS,14,QB,QB39,334,ACT
330,Colt McCoy,ARI,14,QB,QB40,335,CUT
331,David Bell,CLE,5,WR,WR106,336,ACT
333,Julian Hill,MIA,10,TE,TE39,339,INA
334,Nick Westbrook-Ikhine,TEN,7,WR,WR107,340,ACT
335,Taylor Heinicke,ATL,11,QB,QB41,341,ACT
336,Gardner Minshew,IND,11,QB,QB42,342,ACT
337,Darrel Williams,NO,11,RB,RB93,343,CUT
338,Auden Tate,ARI,14,WR,WR108,344,NA
339,Tyler Huntley,BAL,13,QB,QB43,345,INA
340,Israel Abanikanda,NYJ,7,RB,RB94,346,INA
341,Dante Pettis,CHI,13,WR,WR109,347,RES
342,Eddy Pineiro,CAR,7,K,K23,348,ACT
343,Austin Hooper,LV,13,TE,TE40,349,ACT
344,Wil Lutz,DEN,9,K,K24,350,ACT
345,Isaiah McKenzie,IND,11,WR,WR110,351,ACT
346,Jimmy Graham,NO,11,TE,TE41,352,ACT
347,Chris Boswell,PIT,6,K,K25,354,ACT
348,Sam Darnold,SF,9,QB,QB44,355,ACT
349,Brandon Aubrey,DAL,7,K,K26,356,ACT
350,Ty Fryfogle,KC,10,WR,WR111,357,CUT
351,Randall Cobb,NYJ,7,WR,WR112,358,ACT
352,Sterling Shepard,NYG,13,WR,WR113,359,ACT
354,Matt Prater,ARI,14,K,K27,361,ACT
356,Kyle Trask,TB,5,QB,QB45,363,ACT
357,Brandon Johnson,DEN,9,WR,WR114,364,ACT
358,Kalif Raymond,DET,9,WR,WR115,365,ACT
359,Justin Watson,KC,10,WR,WR116,366,ACT
360,Caleb Shudak,TEN,7,K,K28,367,NA
361,Jordan Mason,SF,9,RB,RB96,368,ACT
362,Kyle Allen,BUF,13,QB,QB46,369,ACT
363,Stetson Bennett,LAR,10,QB,QB47,370,INA
364,AT Perry,NO,11,WR,WR117,371,INA
365,Jauan Jennings,SF,9,WR,WR118,372,ACT
366,Luke Schoonmaker,DAL,7,TE,TE42,373,ACT
367,Marcus Mariota,PHI,10,QB,QB48,374,ACT
368,Deneric Prince,KC,10,RB,RB97,375,DEV
369,Eric Gray,NYG,13,RB,RB98,376,ACT
370,Chris Rodriguez,WAS,14,RB,RB99,377,ACT
371,Josh Reynolds,DET,9,WR,WR119,378,ACT
373,Bailey Zappe,NE,11,QB,QB49,380,ACT
374,Anders Carlson,GB,6,K,K29,381,ACT
375,Kyle Philips,TEN,7,WR,WR120,382,RES
376,Devin Duvernay,BAL,13,WR,WR121,383,ACT
377,Ronnie Bell,SF,9,WR,WR122,384,ACT
378,Alex Armah,WAS,14,RB,RB101,385,DEV
379,Tristan Vizcaino,DAL,7,K,K30,386,NA
380,Albert Okwuegbunam,PHI,10,TE,TE43,387,INA
381,Lucas Havrisik,CLE,5,K,K31,388,DEV
382,Ronnie Rivers,LAR,10,RB,RB102,389,ACT
383,Foster Moreau,NO,11,TE,TE44,390,ACT
384,Chase McLaughlin,TB,5,K,K32,391,ACT
385,Tutu Atwell,LAR,10,WR,WR123,392,ACT
386,Jake Bobo,SEA,5,WR,WR124,393,ACT
387,Will Dissly,SEA,5,TE,TE45,394,ACT
388,Zach Wilson,NYJ,7,QB,QB50,395,ACT
389,Trent Sherfield,BUF,13,WR,WR125,396,ACT
390,Quez Watkins,PHI,10,WR,WR126,397,ACT
391,CJ Uzomah,NYJ,7,TE,TE46,398,ACT
392,Blake Proehl,MIN,13,WR,WR127,399,CUT
393,Kenny McIntosh,SEA,5,RB,RB103,400,RES
394,Elliott Fry,DEN,9,K,K33,401,NA
395,Chris Moore,TEN,7,WR,WR128,402,ACT
396,Demetric Felton,CIN,7,RB,RB104,403,DEV
397,Durham Smythe,MIA,10,TE,TE47,405,ACT
398,Ben Skowronek,LAR,10,WR,WR129,406,ACT
399,Noah Brown,HOU,7,WR,WR130,407,ACT
400,Kenyan Drake,IND,11,RB,RB105,409,NA
401,KhaDarel Hodge,ATL,11,WR,WR131,410,ACT
402,Ke'Shawn Vaughn,TB,5,RB,RB106,411,INA
403,Tyrod Taylor,NYG,13,QB,QB51,412,ACT
404,Ka'imi Fairbairn,HOU,7,K,K34,413,ACT
406,Trentonrwin,CIN,7,WR,WR132,415,ACT
407,Noah Gray,KC,10,TE,TE48,416,ACT
408,Mitchell Trubisky,PIT,6,QB,QB52,417,ACT
409,CJ Johnson,SEA,5,WR,WR133,418,NA
410,D'Ernest Johnson,JAX,9,RB,RB108,420,ACT
411,Corey Clement,ARI,14,RB,RB109,421,DEV
412,Cooper Rush,DAL,7,QB,QB53,422,ACT
413,Connor Heyward,PIT,6,TE,TE49,423,ACT
414,Braxton Berrios,MIA,10,WR,WR134,424,ACT
415,Raheem Blackshear,CAR,7,RB,RB110,425,ACT
416,Deonte Harty,BUF,13,WR,WR135,426,ACT
417,Drew Lock,SEA,5,QB,QB54,427,ACT
418,Peyton Hendershot,DAL,7,TE,TE50,428,ACT
419,Demario Douglas,NE,11,WR,WR136,429,ACT
420,Hendon Hooker,DET,9,QB,QB55,430,RES
421,Jalen Tolbert,DAL,7,WR,WR137,431,ACT
422,Tyler Badie,DEN,9,RB,RB111,432,DEV
423,Dustin Hopkins,CLE,5,K,K35,433,ACT
424,Cole Turner,WAS,14,TE,TE51,434,ACT
425,Donald Parham,LAC,5,TE,TE52,435,ACT
427,Adam Trautman,DEN,9,TE,TE53,437,ACT
428,Trey Sermon,PHI,10,RB,RB113,438,RES
429,Craig Reynolds,DET,9,RB,RB114,439,ACT
430,Charlie Jones,CIN,7,WR,WR138,440,ACT
431,Joshua Dobbs,ARI,14,QB,QB56,441,ACT
432,Johnny Johnson,HOU,7,WR,WR139,443,DEV
433,Spencer Brown,CAR,7,RB,RB115,444,DEV
434,Cedric Tillman,CLE,5,WR,WR140,445,ACT
435,Montrell Washington,KC,10,WR,WR141,446,DEV
436,Aidan O'Connell,LV,13,QB,QB57,447,INA
437,Hunter Long,LAR,10,TE,TE54,449,RES
438,Jarrett Stidham,DEN,9,QB,QB58,450,ACT
439,Cairo Santos,CHI,13,K,K36,451,ACT
440,Trevor Siemian,CIN,7,QB,QB59,452,CUT
441,Antonio Callaway,DAL,7,WR,WR142,453,NA
442,Kayshon Boutte,NE,11,WR,WR143,454,ACT
443,Xazavian Valladay,NYJ,7,RB,RB116,455,DEV
444,Charleston Rambo,PHI,10,WR,WR144,456,RES
445,Tylan Wallace,BAL,13,WR,WR145,457,ACT
446,Sean Clifford,GB,6,QB,QB60,458,ACT
447,Kennedy Brooks,PHI,10,RB,RB117,459,CUT
448,Tay Martin,SF,9,WR,WR146,460,DEV
449,Amari Rodgers,IND,11,WR,WR147,461,DEV
450,BJ Baylor,ATL,11,RB,RB118,462,NA
451,Colby Parkinson,SEA,5,TE,TE55,463,ACT
452,Jermar Jefferson,DET,9,RB,RB119,464,RES
453,Justin Shorter,BUF,13,WR,WR148,465,RES
454,Trestan Ebner,CHI,13,RB,RB120,466,RES
455,Daylen Baldwin,CLE,5,WR,WR149,467,NA
456,Gary Brightwell,NYG,13,RB,RB121,469,ACT
457,Malik Cunningham,NE,11,WR,WR150,470,DEV
458,Shi Smith,CAR,7,WR,WR151,471,CUT
459,Bo Melton,GB,6,WR,WR152,472,DEV
460,Braylon Sanders,MIA,10,WR,WR153,473,DEV
461,Cedrick Wilson,MIA,10,WR,WR154,474,INA
462,Chad Ryland,NE,11,K,K37,475,ACT
463,Caleb Huntley,ATL,11,RB,RB122,476,NA
464,Josh Ali,ATL,11,WR,WR155,477,INA
465,Shemar Bridges,BAL,13,WR,WR156,479,CUT
466,Dalton Keene,HOU,7,TE,TE56,480,DEV
467,John Parker Romo,CHI,13,K,K38,481,DEV
468,Lynn Bowden,NO,11,WR,WR157,482,DEV
469,Noah Gindorff,SEA,5,TE,TE57,483,NA
470,Matt Corral,NE,11,QB,QB61,484,E01
471,Slade Bolden,ATL,11,WR,WR158,485,CUT
472,Matt Landers,SEA,5,WR,WR159,486,DEV
473,Tanner Brown,LAR,10,K,K39,488,CUT
474,Abram Smith,MIN,13,RB,RB123,489,CUT
475,Brenton Strange,JAX,9,TE,TE58,490,ACT
476,Racey McMath,IND,11,WR,WR160,491,DEV
477,Brock Wright,DET,9,TE,TE59,492,ACT
478,Elijah Higgins,ARI,14,TE,TE60,493,INA
479,Derius Davis,LAC,5,WR,WR161,494,ACT
480,KJ Hamler,DEN,9,WR,WR162,495,NA
481,Equanimeous St Brown,CHI,13,WR,WR163,496,INA
482,Chase Garbers,LV,13,QB,QB62,497,CUT
483,EJ Perry,HOU,7,QB,QB63,498,CUT
484,Nathan Rourke,JAX,9,QB,QB64,499,DEV
486,Salvon Ahmed,MIA,10,RB,RB125,501,ACT
487,Jake Tonges,CHI,13,TE,TE61,502,NA
488,Nick Muse,MIN,13,TE,TE62,503,INA
