returnTD,defTD,safeties,teamID,fumbleRecoveries,ptsAgainst,teamAbv,interceptions,sacks,blockKick,fantasyPointsDefault,week
0.0,0.1,0.0,13,0.5,26.3,HOU,0.6,1.9,0.1,6.8,3
0.0,0.1,0.0,14,0.5,26,IND,0.6,2.0,0.1,6.9,3
0.0,0.1,0.0,15,0.7,18,JAX,0.9,3.0,0.1,10.9,3
0.0,0.2,0.0,16,0.6,17.5,KC,1.0,2.8,0.1,11.3,3
0.0,0.1,0.0,17,0.6,22.5,LV,0.7,2.3,0.1,7.6,3
0.0,0.1,0.0,18,0.4,26.5,LAC,0.6,2.0,0.0,6.6,3
0.0,0.1,0.0,19,0.5,27,LAR,0.6,2.0,0.1,6.9,3
0.0,0.1,0.0,1,0.4,27,ARI,0.5,1.7,0.1,6.2,3
0.0,0.1,0.0,2,0.5,25,ATL,0.7,2.1,0.1,7.2,3
0.0,0.1,0.0,3,0.7,18,BAL,0.9,2.9,0.1,10.8,3
0.0,0.2,0.0,4,0.6,18.8,BUF,0.8,2.5,0.1,10.6,3
0.0,0.1,0.0,5,0.5,23.3,CAR,0.6,2.1,0.0,6.9,3
0.0,0.1,0.0,6,0.4,30.3,CHI,0.5,1.7,0.0,2.1,3
0.0,0.1,0.0,7,0.5,21,CIN,0.8,2.4,0.1,7.7,3
0.0,0.1,0.0,8,0.6,17.3,CLE,0.8,2.6,0.1,10.1,3
0.0,0.2,0.0,9,0.7,16,DAL,1.0,2.9,0.1,11.6,3
0.0,0.2,0.0,20,0.5,20.5,MIA,0.7,2.3,0.1,10.0,3
0.0,0.1,0.0,21,0.5,27.5,MIN,0.6,2.0,0.1,6.9,3
0.0,0.1,0.0,22,0.5,24.5,NE,0.8,2.3,0.1,7.6,4
0.0,0.1,0.0,23,0.6,19,NO,0.8,2.5,0.1,10.0,4
0.0,0.1,0.0,24,0.5,22.5,NYG,0.7,2.3,0.1,7.4,4
0.0,0.1,0.0,25,0.4,24.8,NYJ,0.6,1.9,0.0,6.5,4
0.0,0.2,0.0,26,0.6,19.3,PIT,0.8,2.7,0.1,10.8,4
0.0,0.2,0.0,27,0.6,18.5,PHI,0.8,2.7,0.1,10.8,4
0.0,0.2,0.0,28,0.6,15.5,SF,0.9,2.8,0.1,11.1,4
0.0,0.1,0.0,29,0.5,24,SEA,0.8,2.3,0.1,7.6,4
0.0,0.1,0.0,30,0.6,22.5,TB,0.8,2.5,0.1,8.0,4
0.0,0.1,0.0,31,0.5,22,TEN,0.7,2.3,0.1,7.4,4
0.0,0.1,0.0,10,0.6,22,DEN,0.8,2.5,0.1,8.0,4
0.0,0.1,0.0,32,0.5,26,WSH,0.6,2.0,0.0,6.8,4
0.0,0.1,0.0,11,0.5,22,DET,0.7,2.4,0.1,7.5,4
0.0,0.1,0.0,12,0.5,23,GB,0.7,2.2,0.1,7.3,4
0.0,0.1,0.0,13,0.6,22.3,HOU,0.7,2.5,0.1,7.8,4
0.0,0.1,0.0,14,0.5,22.8,IND,0.7,2.2,0.1,7.3,4
0.0,0.1,0.0,15,0.6,19.8,JAX,0.7,2.4,0.1,9.7,4
0.0,0.2,0.0,16,0.6,16.8,KC,1.0,2.8,0.1,11.3,4
0.0,0.1,0.0,17,0.5,27.8,LV,0.6,2.1,0.1,7.0,4
0.0,0.1,0.0,18,0.5,21.3,LAC,0.7,2.5,0.1,7.6,4
0.0,0.1,0.0,19,0.6,21.8,LAR,0.7,2.4,0.1,7.7,4
0.0,0.1,0.0,1,0.4,29.3,ARI,0.5,1.7,0.1,2.2,4
0.0,0.1,0.0,2,0.5,22.8,ATL,0.7,2.1,0.1,7.2,4
0.0,0.1,0.0,3,0.5,18.8,BAL,0.8,2.4,0.1,9.7,4
0.0,0.1,0.0,4,0.5,25.5,BUF,0.7,2.1,0.1,7.2,4
0.0,0.1,0.0,5,0.5,24.5,CAR,0.7,2.4,0.1,7.5,4
0.0,0.1,0.0,6,0.5,25,CHI,0.7,2.4,0.1,7.5,4
0.0,0.1,0.0,7,0.6,19.5,CIN,0.8,2.5,0.1,10.0,4
0.0,0.1,0.0,8,0.6,19.8,CLE,0.8,2.6,0.1,10.1,4
0.0,0.2,0.0,9,0.6,18.3,DAL,0.9,2.7,0.1,11.0,4
0.0,0.1,0.0,20,0.5,27.8,MIA,0.7,2.1,0.1,7.2,4
0.0,0.1,0.0,21,0.6,21,MIN,0.8,2.5,0.1,8.0,4
0.1,0.1,0.1,22,0.6,18.5,NE,0.9,2.7,0.1,11.2,5
0.0,0.1,0.1,23,0.5,20,NO,0.7,2.4,0.1,9.7,5
0.1,0.1,0.0,24,0.4,30,NYG,0.5,1.7,0.0,2.7,5
0.1,0.1,0.1,25,0.5,21.8,NYJ,0.7,2.5,0.1,8.4,5
0.0,0.1,0.0,26,0.5,21.5,PIT,0.7,2.3,0.0,7.3,5
0.1,0.1,0.1,27,0.5,23.5,PHI,0.7,2.2,0.1,8.1,5
0.1,0.2,0.1,28,0.5,20.8,SF,0.8,2.5,0.1,11.2,5
0,0,0,29,0,0,SEA,0,0,0,10.0,5
0,0,0,30,0,0,TB,0,0,0,10.0,5
0.1,0.1,0.0,31,0.5,21,TEN,0.7,2.2,0.1,7.9,5
0.1,0.1,0.1,32,0.6,18.8,WSH,0.8,2.9,0.1,11.2,5
0.1,0.1,0.1,10,0.5,20.8,DEN,0.8,2.4,0.1,10.5,5
0.1,0.1,0.1,11,0.7,17.3,DET,0.9,2.9,0.1,11.6,5
0.1,0.2,0.1,12,0.5,21,GB,0.7,2.2,0.1,8.7,5
0.1,0.1,0.0,13,0.5,22.3,HOU,0.7,2.2,0.1,7.9,5
0.1,0.1,0.0,14,0.5,22.5,IND,0.7,2.2,0.1,7.9,5
0.1,0.1,0.0,15,0.4,26.5,JAX,0.6,1.9,0.0,7.1,5
0.1,0.1,0.1,16,0.5,24.5,KC,0.7,2.1,0.1,8.0,5
0.1,0.1,0.0,17,0.5,23.5,LV,0.6,2.0,0.1,7.5,5
0,0,0,18,0,0,LAC,0,0,0,10.0,5
0.1,0.1,0.0,19,0.5,27,LAR,0.6,1.9,0.1,7.4,5
0.1,0.1,0.0,1,0.5,24,ARI,0.6,2.0,0.1,7.5,5
0.1,0.1,0.1,2,0.5,19.8,ATL,0.7,2.4,0.1,10.3,5
0.1,0.1,0.1,3,0.6,17,BAL,0.9,2.7,0.1,11.2,5
0.1,0.2,0.1,4,0.6,21,BUF,0.8,2.5,0.1,9.4,5
0.1,0.1,0.0,5,0.4,26.3,CAR,0.5,1.8,0.0,6.8,5
0.1,0.1,0.0,6,0.4,25.3,CHI,0.6,1.9,0.1,7.2,5
0.1,0.1,0.1,7,0.5,21,CIN,0.7,2.3,0.1,8.2,5
0,0,0,8,0,0,CLE,0,0,0,10.0,5
0.1,0.1,0.0,9,0.4,24.3,DAL,0.7,2.0,0.0,7.4,5
0.1,0.1,0.1,20,0.6,17.5,MIA,0.9,2.7,0.1,11.2,5
