Rank,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingYards,PassingTouchdowns,PassingInterceptions,RushingAttempts,RushingYards,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,FantasyPointsPerGamePPR,FantasyPointsPPR
18,Patrick Mahomes,KC,QB,2,JAX,25.2,37.2,296,2.2,0.7,4.2,21.7,0.2,0,0,0,0,22.4,22.41
19,Patrick Mahomes,KC,QB,7,LAC,25.9,37.1,289,2.2,0.7,4.4,24.1,0.2,0,0,0,0,22.4,22.37
19,CeeDee Lamb,DAL,WR,17,DET,0,0,0,0,0,1,5.5,0.1,10,7.3,97.2,0.7,22.4,22.37
21,Jalen Hurts,PHI,QB,8,WAS,20.5,31,246,1.5,0.7,9.6,43.1,0.7,0,0,0,0,22.4,22.35
22,Josh Allen,BUF,QB,16,LAC,22.6,33.4,254.5,1.9,0.8,6.4,33.4,0.6,0,0,0,0,22.3,22.32
23,Jalen Hurts,PHI,QB,1,NE,19.9,30.4,236,1.5,0.6,9.8,48.4,0.6,0,0,0,0,22.3,22.28
24,CeeDee Lamb,DAL,WR,14,PHI,0,0,0,0,0,0.8,4.1,0,9.5,7.7,99.4,0.7,22.2,22.25
25,Jalen Hurts,PHI,QB,16,NYG,20.4,30.9,233.6,1.5,0.7,9.8,44.5,0.8,0,0,0,0,22.2,22.19
26,Josh Allen,BUF,QB,5,JAX,23.8,35.6,266.6,2,0.9,6,33.1,0.4,0,0,0,0,22.2,22.17
27,Patrick Mahomes,KC,QB,9,MIA,25.6,37.3,285.1,2.2,0.8,4.5,23.9,0.2,0,0,0,0,22,21.99
28,Josh Allen,BUF,QB,10,DEN,24.5,35.1,270.2,2,0.9,5.8,31.3,0.4,0,0,0,0,21.9,21.94
29,Christian McCaffrey,SF,RB,5,DAL,0,0,0,0,0,20,94.2,0.7,5,4.3,29,0.2,21.8,21.82
30,Jalen Hurts,PHI,QB,3,TB,20,30,232.7,1.5,0.6,9.5,45,0.6,0,0,0,0,21.8,21.81
31,Tyreek Hill,MIA,WR,3,DEN,0,0,0,0,0,0.9,4.5,0,10.8,7.8,100.3,0.6,21.7,21.68
32,Tyreek Hill,MIA,WR,7,PHI,0,0,0,0,0,0.6,3.2,0,8.9,6.9,104.4,0.7,21.7,21.66
33,Jalen Hurts,PHI,QB,12,BUF,20.3,29.8,231.1,1.5,0.7,9.4,42,0.7,0,0,0,0,21.6,21.64
34,Tyreek Hill,MIA,WR,8,NE,0,0,0,0,0,0.5,2.7,0,8.6,7.1,100.4,0.7,21.6,21.61
35,Josh Allen,BUF,QB,15,DAL,23.2,35.6,253.3,1.8,0.9,6.9,36.7,0.5,0,0,0,0,21.6,21.6
36,Lamar Jackson,BAL,QB,8,ARI,20.7,29.9,232.6,1.6,0.7,11.43,54.9,0.4,0,0,0,0,21.6,21.59
37,Tyreek Hill,MIA,WR,6,CAR,0,0,0,0,0,0.7,3.6,0,8.9,6.9,101.1,0.7,21.6,21.57
37,Tyreek Hill,MIA,WR,17,BAL,0,0,0,0,0,0.7,3.4,0,11.3,7.3,105.3,0.6,21.6,21.57
39,Jalen Hurts,PHI,QB,5,LAR,20.4,31.8,240.9,1.5,0.7,9.4,41.2,0.6,0,0,0,0,21.6,21.56
40,Josh Allen,BUF,QB,4,MIA,24.5,35.9,266.1,2,0.9,5.7,33.1,0.3,0,0,0,0,21.6,21.55
41,Jalen Hurts,PHI,QB,4,WAS,19.5,29.9,229.6,1.5,0.6,9.4,45.5,0.6,0,0,0,0,21.5,21.53
42,Justin Jefferson,MIN,WR,5,KC,0,0,0,0,0,0.2,0.9,0,9.9,7.6,104.2,0.6,21.5,21.51
43,Tyreek Hill,MIA,WR,11,LV,0,0,0,0,0,0.6,3.3,0,8.9,7,100.7,0.7,21.4,21.4
44,Jalen Hurts,PHI,QB,14,DAL,20.4,31.6,237.9,1.4,0.7,9.5,42.6,0.7,0,0,0,0,21.4,21.38
45,Josh Allen,BUF,QB,18,MIA,21.8,33.9,247,1.7,0.8,6.5,34.7,0.6,0,0,0,0,21.4,21.35
45,Justin Jefferson,MIN,WR,4,CAR,0,0,0,0,0,0.3,1.3,0,9.9,7.4,104.2,0.6,21.4,21.35
47,Josh Allen,BUF,QB,8,TB,23.2,34.6,254.8,2,0.8,5.2,27.5,0.4,0,0,0,0,21.3,21.34
48,Christian McCaffrey,SF,RB,16,BAL,0,0,0,0,0,17.6,85.1,0.7,4.8,4.2,34,0.2,21.3,21.31
49,Tyreek Hill,MIA,WR,5,NYG,0,0,0,0,0,0.8,3.9,0,8.9,6.9,98.1,0.7,21.3,21.3
50,Tyreek Hill,MIA,WR,9,KC,0,0,0,0,0,0.6,3.1,0,8.9,7,99.3,0.7,21.2,21.24
51,Dak Prescott,DAL,QB,17,DET,24.9,36.1,285.3,2.2,0.8,4.3,18.2,0.2,0,0,0,0,21.2,21.23
52,Christian McCaffrey,SF,RB,3,NYG,0,0,0,0,0,17.5,86.9,0.7,4.8,4.2,29.2,0.2,21.2,21.21
53,Lamar Jackson,BAL,QB,12,LAC,19.4,29.2,234.7,1.5,0.6,8.8,52,0.4,0,0,0,0,21.2,21.19
54,Jalen Hurts,PHI,QB,9,DAL,20.4,31.3,241.3,1.5,0.8,9.1,41.1,0.6,0,0,0,0,21.2,21.16
55,Patrick Mahomes,KC,QB,4,NYJ,24.4,36.4,276.8,2,0.7,4.7,25.7,0.2,0,0,0,0,21,21.04
56,Lamar Jackson,BAL,QB,1,HOU,19.7,30.1,227.9,1.6,0.7,11.43,54.9,0.3,0,0,0,0,21,21.01
57,Dak Prescott,DAL,QB,18,WAS,23.7,34.6,277.9,2.2,0.7,4.1,16.8,0.2,0,0,0,0,21,21
57,Justin Jefferson,MIN,WR,3,LAC,0,0,0,0,0,0.3,1.3,0,9.8,7.1,103.7,0.6,21,21
59,Josh Allen,BUF,QB,17,NE,21.6,32.6,238.7,1.7,0.8,6.1,32.1,0.6,0,0,0,0,21,20.96
60,Dak Prescott,DAL,QB,14,PHI,25,35.3,276.4,2.2,0.7,3.6,16.4,0.2,0,0,0,0,20.9,20.9
60,Tyreek Hill,MIA,WR,4,BUF,0,0,0,0,0,0.7,3.7,0,9.3,6.9,96.3,0.7,20.9,20.9
62,Tyreek Hill,MIA,WR,18,BUF,0,0,0,0,0,0.6,2.9,0,10,7,99.6,0.6,20.8,20.85
63,Jalen Hurts,PHI,QB,6,NYJ,20.3,31.4,231,1.3,0.7,10,45.2,0.6,0,0,0,0,20.8,20.76
64,Dak Prescott,DAL,QB,12,WAS,24.7,34.6,274.8,2.2,0.7,3.7,15.6,0.2,0,0,0,0,20.8,20.75
64,Christian McCaffrey,SF,RB,13,PHI,0,0,0,0,0,15.8,73.7,0.7,5.5,4.6,29.8,0.3,20.8,20.75
66,Patrick Mahomes,KC,QB,11,PHI,25.2,36.6,274,2,0.7,4.5,23.3,0.2,0,0,0,0,20.7,20.69
67,Lamar Jackson,BAL,QB,17,MIA,19.7,30.4,227.8,1.5,0.7,9.5,55.5,0.3,0,0,0,0,20.7,20.66
68,Lamar Jackson,BAL,QB,3,IND,20.2,30.1,227.9,1.6,0.7,8.8,51.3,0.3,0,0,0,0,20.6,20.65
69,Josh Allen,BUF,QB,14,KC,22.7,35,252,1.8,0.9,5.9,33.5,0.4,0,0,0,0,20.6,20.63
70,Justin Jefferson,MIN,WR,1,TB,0,0,0,0,0,0.3,1.6,0,9.7,7.1,99.6,0.6,20.6,20.62
71,Patrick Mahomes,KC,QB,12,LV,24.5,36,268.1,2,0.7,4.6,24.8,0.2,0,0,0,0,20.6,20.6
72,Cooper Kupp,LAR,WR,7,PIT,0,0,0,0,0,0.4,1.8,0,10.7,7.4,95.7,0.6,20.6,20.55
73,Ja'Marr Chase,CIN,WR,9,BUF,0,0,0,0,0,0.5,2.1,0,9.7,7.3,90.1,0.7,20.5,20.52
74,Josh Allen,BUF,QB,9,CIN,23,35.3,263.1,1.9,0.9,5,27.4,0.3,0,0,0,0,20.5,20.46
75,Lamar Jackson,BAL,QB,9,SEA,20.1,30.2,224.9,1.4,0.7,9.4,54.5,0.4,0,0,0,0,20.4,20.45
75,Josh Allen,BUF,QB,12,PHI,23.6,35.2,255,1.8,0.9,5.3,28.5,0.4,0,0,0,0,20.4,20.45
77,Josh Allen,BUF,QB,3,WAS,22.8,34.5,257.3,1.8,0.9,6.7,35.4,0.3,0,0,0,0,20.4,20.43
77,Jalen Hurts,PHI,QB,15,SEA,20.1,30.5,231.3,1.3,0.7,9.1,39.8,0.7,0,0,0,0,20.4,20.43
79,CeeDee Lamb,DAL,WR,12,WAS,0,0,0,0,0,0.8,4.1,0,8.5,7.1,94.9,0.6,20.4,20.4
80,Justin Herbert,LAC,QB,4,LV,27.2,39.1,292.8,2.1,0.7,3.3,12.1,0.1,0,0,0,0,20.3,20.32
81,Christian McCaffrey,SF,RB,11,TB,0,0,0,0,0,16.1,78.1,0.7,4.9,4.3,30,0.2,20.3,20.31
82,Brock Purdy,SF,QB,17,WAS,20.5,29.6,280.7,2.2,0.6,3.1,10.4,0.1,0,0,0,0,20.3,20.27
83,Jalen Hurts,PHI,QB,13,SF,19.9,30.2,225.4,1.3,0.8,9.8,42.3,0.7,0,0,0,0,20.2,20.25
84,Christian McCaffrey,SF,RB,6,CLE,0,0,0,0,0,18.2,85.7,0.7,4.7,3.9,25.5,0.2,20.2,20.22
84,Christian McCaffrey,SF,RB,2,LAR,0,0,0,0,0,16.3,77.8,0.6,5.4,4.5,31.4,0.2,20.2,20.22
86,Lamar Jackson,BAL,QB,15,JAX,19.7,29.9,227.8,1.4,0.6,9.1,52.8,0.3,0,0,0,0,20.2,20.19
86,Christian McCaffrey,SF,RB,12,SEA,0,0,0,0,0,16.5,77.6,0.7,4.8,4.2,30.3,0.2,20.2,20.19
88,Josh Allen,BUF,QB,1,NYJ,21.6,34.2,250.2,1.7,0.9,6.6,37.4,0.3,0,0,0,0,20.2,20.15
88,Lamar Jackson,BAL,QB,7,DET,19.7,30.1,213.4,1.4,0.8,9.7,58.1,0.4,0,0,0,0,20.2,20.15
90,Justin Herbert,LAC,QB,3,MIN,25.8,38.4,283,2,0.7,3.3,11.7,0.2,0,0,0,0,20.1,20.09
91,Christian McCaffrey,SF,RB,8,CIN,0,0,0,0,0,18.3,85.2,0.7,4.5,3.8,25.4,0.2,20.1,20.06
91,Keenan Allen,LAC,WR,4,LV,0,0,0,0,0,0.2,1,0,10,7.7,88.6,0.6,20.1,20.06
93,Dak Prescott,DAL,QB,13,SEA,23.9,34.8,268.6,2.1,0.7,3.5,15.1,0.2,0,0,0,0,20,20.05
94,Lamar Jackson,BAL,QB,14,LAR,18.6,28.5,205.6,1.4,0.6,9.5,53.3,0.4,0,0,0,0,20,19.95
94,Ja'Marr Chase,CIN,WR,6,SEA,0,0,0,0,0,0.3,1.1,0,9.4,7.1,91.4,0.6,20,19.95
96,Lamar Jackson,BAL,QB,11,CIN,19.3,29,222.8,1.4,0.7,10.47,50.3,0.4,0,0,0,0,19.9,19.94
97,Tyreek Hill,MIA,WR,2,NE,0,0,0,0,0,0.8,4.2,0,9.2,6.8,93.1,0.6,19.9,19.93
98,Lamar Jackson,BAL,QB,6,TEN,20.2,29.8,219,1.4,0.7,9.4,53.6,0.4,0,0,0,0,19.9,19.92
99,Cooper Kupp,LAR,WR,6,ARI,0,0,0,0,0,0.5,2.7,0,9.7,7.4,88.2,0.6,19.9,19.89
100,CeeDee Lamb,DAL,WR,15,BUF,0,0,0,0,0,0.7,4.5,0,9.1,6.8,90.1,0.6,19.9,19.86
100,Keenan Allen,LAC,WR,14,DEN,0,0,0,0,0,0.1,0.2,0,9.6,7.9,89.4,0.5,19.9,19.86
102,Patrick Mahomes,KC,QB,13,GB,24.2,36.2,258.7,1.9,0.7,4.9,25,0.2,0,0,0,0,19.8,19.85
102,CeeDee Lamb,DAL,WR,13,SEA,0,0,0,0,0,0.7,4.3,0,8.5,6.9,91.2,0.6,19.8,19.85
104,Justin Fields,CHI,QB,16,ARI,19.2,30.1,212,1.4,0.8,9.9,54.6,0.4,0,0,0,0,19.7,19.74
104,Tyreek Hill,MIA,WR,16,DAL,0,0,0,0,0,0.6,3.1,0,9,6.5,93.3,0.6,19.7,19.74
106,Austin Ekeler,LAC,RB,11,GB,0,0,0,0,0,15,62.8,0.5,6.6,5.3,35.2,0.3,19.7,19.7
106,Stefon Diggs,BUF,WR,6,NYG,0,0,0,0,0,0.07,0.3,0,9.1,6.8,88.7,0.7,19.7,19.7
108,CeeDee Lamb,DAL,WR,16,MIA,0,0,0,0,0,0.7,4.2,0,9.8,6.9,89.7,0.6,19.7,19.69
109,Patrick Mahomes,KC,QB,17,CIN,24.9,36.3,273.3,1.9,0.8,4.6,23.5,0.1,0,0,0,0,19.7,19.68
109,Joe Burrow,CIN,QB,10,HOU,25.6,37.4,268.5,2,0.8,3.8,15.4,0.2,0,0,0,0,19.7,19.68
111,CeeDee Lamb,DAL,WR,11,CAR,0,0,0,0,0,0.6,3.5,0,8.2,6.8,90.9,0.6,19.6,19.64
112,Stefon Diggs,BUF,WR,10,DEN,0,0,0,0,0,0.07,0.3,0,9.2,7.3,89,0.6,19.6,19.63
113,Ja'Marr Chase,CIN,WR,8,SF,0,0,0,0,0,0.2,1,0,10,7.2,89.2,0.6,19.6,19.62
114,Patrick Mahomes,KC,QB,14,BUF,25.3,37.4,260.2,1.9,0.8,4.7,23.9,0.2,0,0,0,0,19.6,19.6
115,Amon-Ra St. Brown,DET,WR,11,CHI,0,0,0,0,0,0.5,2.8,0,8.7,7.2,87,0.6,19.6,19.58
116,Tyreek Hill,MIA,WR,12,NYJ,0,0,0,0,0,0.6,3,0,8.4,6.7,91.7,0.6,19.6,19.57
117,Stefon Diggs,BUF,WR,5,JAX,0,0,0,0,0,0.05,0.2,0,9.4,7.1,88.4,0.6,19.6,19.56
118,Tua Tagovailoa,MIA,QB,6,CAR,23.4,33.1,291.4,2.1,0.8,2.3,6.9,0.1,0,0,0,0,19.6,19.55
118,Lamar Jackson,BAL,QB,5,PIT,18.7,28.5,207.4,1.3,0.7,9.9,58.5,0.4,0,0,0,0,19.6,19.55
120,Josh Allen,BUF,QB,7,NE,22.4,34.2,244.8,1.8,0.8,5.1,27.5,0.3,0,0,0,0,19.5,19.54
120,Stefon Diggs,BUF,WR,8,TB,0,0,0,0,0,0.05,0.2,0,9.2,7,85.2,0.7,19.5,19.54
120,Keenan Allen,LAC,WR,11,GB,0,0,0,0,0,0.1,0.4,0,9.8,7.6,89,0.5,19.5,19.54
123,Josh Allen,BUF,QB,11,NYJ,22.1,33.6,233.2,1.6,0.9,5.9,32,0.5,0,0,0,0,19.5,19.53
123,Justin Jefferson,MIN,WR,2,PHI,0,0,0,0,0,0.2,1.2,0,9.6,6.9,97.1,0.5,19.5,19.53
125,Jalen Hurts,PHI,QB,11,KC,19.9,30.8,224.8,1.3,0.7,9.1,41,0.5,0,0,0,0,19.5,19.49
126,Tua Tagovailoa,MIA,QB,13,WAS,24.2,34.2,298.4,2.1,0.8,1.7,5.1,0.1,0,0,0,0,19.4,19.45
127,Kirk Cousins,MIN,QB,3,LAC,25.9,39.1,300.9,2.1,0.9,2.1,5.8,0.1,0,0,0,0,19.4,19.42
128,Justin Herbert,LAC,QB,8,CHI,25.1,35.7,273.3,1.9,0.7,4.1,14.7,0.2,0,0,0,0,19.4,19.4
129,Travis Kelce,KC,TE,8,DEN,0,0,0,0,0,0,0,0,9.1,7.5,82.7,0.6,19.4,19.37
130,Joe Burrow,CIN,QB,9,BUF,24.6,36.2,260.6,2,0.8,3.6,15.4,0.2,0,0,0,0,19.4,19.36
130,Keenan Allen,LAC,WR,8,CHI,0,0,0,0,0,0.1,0.4,0,9.4,7.1,86.2,0.6,19.4,19.36
132,Justin Herbert,LAC,QB,1,MIA,25.9,38.5,283.1,2,0.8,3.3,12.2,0.1,0,0,0,0,19.3,19.34
133,Kyren Williams,LAR,RB,15,WAS,0,0,0,0,0,18.6,82.9,0.7,4.5,3.2,24.4,0.2,19.3,19.33
134,Justin Jefferson,MIN,WR,18,DET,0,0,0,0,0,0.1,0.6,0,10.5,6.9,95.6,0.5,19.3,19.32
135,Lamar Jackson,BAL,QB,2,CIN,19.1,30.7,217.6,1.4,0.8,10.85,52.1,0.3,0,0,0,0,19.3,19.31
135,Christian McCaffrey,SF,RB,10,JAX,0,0,0,0,0,16,74.1,0.7,4.6,4,27,0.2,19.3,19.31
137,Justin Herbert,LAC,QB,2,TEN,25.8,37.8,288.3,1.9,0.7,3.4,11.4,0.1,0,0,0,0,19.3,19.27
138,Tua Tagovailoa,MIA,QB,14,TEN,23.7,33.7,288.2,2.1,0.7,1.6,5.3,0.1,0,0,0,0,19.3,19.26
139,Ja'Marr Chase,CIN,WR,11,BAL,0,0,0,0,0,0.3,1.1,0,9,6.8,87.3,0.6,19.2,19.24
139,Amon-Ra St. Brown,DET,WR,12,GB,0,0,0,0,0,0.5,2.7,0,8.7,7.1,84.7,0.6,19.2,19.24
141,Brock Purdy,SF,QB,14,SEA,20,29.3,263.3,1.9,0.7,4,15,0.2,0,0,0,0,19.2,19.23
142,Stefon Diggs,BUF,WR,9,CIN,0,0,0,0,0,0.05,0.2,0,9.3,7,87.8,0.6,19.2,19.2
143,Dak Prescott,DAL,QB,15,BUF,24.1,35.5,267.9,1.9,0.7,3.5,14.6,0.2,0,0,0,0,19.2,19.18
143,Stefon Diggs,BUF,WR,4,MIA,0,0,0,0,0,0.1,0.4,0,9.2,7.1,86.4,0.6,19.2,19.18
145,Brock Purdy,SF,QB,15,ARI,20,28.9,260.8,1.9,0.6,3.5,13,0.2,0,0,0,0,19.1,19.13
146,Tua Tagovailoa,MIA,QB,5,NYG,23.5,35,290.2,2,0.8,2.5,8.7,0.1,0,0,0,0,19.1,19.08
147,Patrick Mahomes,KC,QB,15,NE,23.6,35.4,248.2,1.8,0.7,4.6,23,0.2,0,0,0,0,19,19.03
148,Justin Herbert,LAC,QB,6,DAL,25,37.3,268.7,1.8,0.7,3.8,14.6,0.2,0,0,0,0,19,19.01
149,Lamar Jackson,BAL,QB,16,SF,19.6,30.4,222,1.2,0.7,9.2,53.2,0.3,0,0,0,0,19,19
150,Joe Burrow,CIN,QB,1,CLE,23.7,34.9,265.8,1.9,0.8,3.2,13.6,0.2,0,0,0,0,19,18.99
151,Ja'Marr Chase,CIN,WR,2,BAL,0,0,0,0,0,0.5,2.1,0,9.3,6.6,87.7,0.6,19,18.98
152,Keenan Allen,LAC,WR,13,NE,0,0,0,0,0,0.1,0.3,0,9.9,7.7,84.1,0.5,18.9,18.94
153,Dak Prescott,DAL,QB,10,NYG,22.7,33.7,251.9,1.9,0.7,4.3,18.3,0.2,0,0,0,0,18.9,18.91
154,Patrick Mahomes,KC,QB,16,LV,24.6,36.2,259.8,1.8,0.7,4.6,23,0.1,0,0,0,0,18.9,18.89
154,Ja'Marr Chase,CIN,WR,4,TEN,0,0,0,0,0,0.4,1.9,0,9.5,6.5,88,0.6,18.9,18.89
156,Stefon Diggs,BUF,WR,7,NE,0,0,0,0,0,0.05,0.2,0,9.2,7,84.6,0.6,18.9,18.88
157,Justin Fields,CHI,QB,6,MIN,17.8,28.1,204,1.4,0.8,9.1,49.1,0.4,0,0,0,0,18.9,18.87
158,Joe Burrow,CIN,QB,2,BAL,24.2,35.2,268.6,1.9,0.8,2.7,11.2,0.2,0,0,0,0,18.9,18.86
159,Dak Prescott,DAL,QB,11,CAR,22.9,33.3,257.1,1.9,0.7,3.8,15.7,0.2,0,0,0,0,18.8,18.85
159,Justin Fields,CHI,QB,14,DET,18.2,30.2,205.5,1.2,0.8,9.9,54.3,0.4,0,0,0,0,18.8,18.85
159,C.J. Stroud,HOU,QB,13,DEN,22.5,35.2,275.6,1.8,0.7,2.7,12.3,0.2,0,0,0,0,18.8,18.85
162,Keenan Allen,LAC,WR,10,DET,0,0,0,0,0,0.1,0.4,0,9.2,7.3,84.9,0.5,18.8,18.83
163,Amon-Ra St. Brown,DET,WR,13,NO,0,0,0,0,0,0.4,2.3,0,8.8,7.2,85.9,0.5,18.8,18.82
164,Ja'Marr Chase,CIN,WR,5,ARI,0,0,0,0,0,0.3,1.5,0,9.2,6.9,83.6,0.6,18.8,18.81
164,Keenan Allen,LAC,WR,6,DAL,0,0,0,0,0,0.1,0.5,0,9.2,7.1,86.6,0.5,18.8,18.81
166,Tua Tagovailoa,MIA,QB,4,BUF,23.7,35.1,289.1,2,0.8,2.1,6.4,0.1,0,0,0,0,18.8,18.8
167,Amon-Ra St. Brown,DET,WR,10,LAC,0,0,0,0,0,0.3,1.7,0,8.9,7.3,85.1,0.5,18.8,18.78
168,C.J. Stroud,HOU,QB,11,ARI,22.3,34.6,270.2,2,0.6,2.4,9.6,0.1,0,0,0,0,18.8,18.77
169,Davante Adams,LV,WR,5,GB,0,0,0,0,0,0.02,0.1,0,9.5,6.6,87.3,0.6,18.7,18.74
170,Justin Fields,CHI,QB,18,GB,18.6,29,208.4,1.2,0.8,9.6,53.8,0.4,0,0,0,0,18.7,18.72
170,Stefon Diggs,BUF,WR,2,LV,0,0,0,0,0,0.1,0.4,0,9.2,6.8,84.8,0.6,18.7,18.72
172,A.J. Brown,PHI,WR,9,DAL,0,0,0,0,0,0.2,0.8,0,7.8,5.9,91,0.6,18.7,18.68
173,Kirk Cousins,MIN,QB,4,CAR,26.2,38.8,287.6,2,0.8,1.8,5.6,0.1,0,0,0,0,18.7,18.66
174,A.J. Brown,PHI,WR,8,WAS,0,0,0,0,0,0.2,0.8,0,8.4,6.1,94.7,0.5,18.6,18.65
175,Alvin Kamara,NO,RB,9,CHI,0,0,0,0,0,16.2,64.1,0.4,6.5,5.4,34.1,0.2,18.6,18.62
175,Justin Jefferson,MIN,WR,17,GB,0,0,0,0,0,0.1,0.7,0,10.3,6.5,90.5,0.5,18.6,18.62
177,Tua Tagovailoa,MIA,QB,11,LV,24.1,34.2,281.2,2,0.7,1.9,5.6,0.1,0,0,0,0,18.6,18.61
177,Ja'Marr Chase,CIN,WR,1,CLE,0,0,0,0,0,0.4,1.9,0,9.1,6.4,86.2,0.6,18.6,18.61
179,Joe Burrow,CIN,QB,6,SEA,25,36.9,262.3,1.8,0.7,3.4,13.1,0.2,0,0,0,0,18.6,18.6
180,Tua Tagovailoa,MIA,QB,7,PHI,23.5,34.3,292.2,1.9,0.8,1.7,5,0.1,0,0,0,0,18.6,18.59
181,Justin Fields,CHI,QB,1,GB,15.6,25.6,183.7,1.2,0.8,12.97,62.3,0.4,0,0,0,0,18.6,18.58
181,CeeDee Lamb,DAL,WR,10,NYG,0,0,0,0,0,0.6,2.6,0,7.4,6.3,86.2,0.6,18.6,18.58
181,Stefon Diggs,BUF,WR,12,PHI,0,0,0,0,0,0.05,0.2,0,9.2,6.9,82.6,0.6,18.6,18.58
184,Tua Tagovailoa,MIA,QB,3,DEN,23.7,34.7,281.1,2,0.8,2.6,7.3,0.1,0,0,0,0,18.6,18.57
184,A.J. Brown,PHI,WR,11,KC,0,0,0,0,0,0.2,0.8,0,7.6,6,88.9,0.6,18.6,18.57
186,A.J. Brown,PHI,WR,12,BUF,0,0,0,0,0,0.2,0.9,0,7.8,6,88.6,0.6,18.6,18.55
187,Bijan Robinson,ATL,RB,5,HOU,0,0,0,0,0,16.1,77.4,0.5,5.4,4.2,25.7,0.2,18.5,18.51
187,Austin Ekeler,LAC,RB,7,KC,0,0,0,0,0,13,57.8,0.5,6.2,5,31.3,0.3,18.5,18.51
189,Davante Adams,LV,WR,6,NE,0,0,0,0,0,0.02,0.1,0,9.8,6.5,83.6,0.6,18.5,18.47
190,Trevor Lawrence,JAX,QB,1,IND,23.8,35.5,260.1,1.8,0.7,3.7,16.6,0.2,0,0,0,0,18.5,18.46
190,Trevor Lawrence,JAX,QB,3,HOU,23.1,34.1,254.2,1.8,0.7,4.2,18.9,0.2,0,0,0,0,18.5,18.46
190,Amon-Ra St. Brown,DET,WR,14,CHI,0,0,0,0,0,0.3,1.6,0,8.5,7.1,82,0.5,18.5,18.46
193,Kyren Williams,LAR,RB,16,NO,0,0,0,0,0,19.6,86,0.6,4.7,3.4,24,0.1,18.4,18.4
194,Lamar Jackson,BAL,QB,10,CLE,18.8,29,205.1,1.2,0.7,9,49.9,0.4,0,0,0,0,18.4,18.39
195,Justin Herbert,LAC,QB,10,DET,23.8,35.4,265.7,1.7,0.7,3.6,13.4,0.2,0,0,0,0,18.4,18.37
195,Keenan Allen,LAC,WR,12,BAL,0,0,0,0,0,0.1,0.3,0,9.1,7.3,82.4,0.5,18.4,18.37
197,Cooper Kupp,LAR,WR,8,DAL,0,0,0,0,0,0.3,1.4,0,9.3,6.6,85.6,0.5,18.3,18.3
198,Jalen Hurts,PHI,QB,18,NYG,19.6,29.8,212,1.2,0.7,8,36.1,0.6,0,0,0,0,18.3,18.29
198,Amon-Ra St. Brown,DET,WR,17,DAL,0,0,0,0,0,0.4,2.1,0,9.6,6.9,81.8,0.5,18.3,18.29
