Rank,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingYards,PassingTouchdowns,PassingInterceptions,RushingAttempts,RushingYards,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,FantasyPointsPerGamePPR,FantasyPointsPPR
1,Patrick Mahomes,KC,QB,3,CHI,25.9,37.4,308.5,2.4,0.7,4.8,24.9,0.2,0,0,0,0,23.8,23.83
2,Tyreek Hill,MIA,WR,13,WAS,0,0,0,0,0,0.7,3.4,0,9.4,7.7,110.3,0.8,23.7,23.67
3,Christian McCaffrey,SF,RB,17,WAS,0,0,0,0,0,18.1,91.5,0.8,4.7,4.3,36.1,0.3,23.5,23.46
4,Jalen Hurts,PHI,QB,17,ARI,20.7,31.1,241.3,1.6,0.7,9.3,41.5,0.9,0,0,0,0,23.2,23.2
4,Tyreek Hill,MIA,WR,14,TEN,0,0,0,0,0,0.8,3.3,0,8.7,7.3,107.7,0.8,23.2,23.2
6,Christian McCaffrey,SF,RB,15,ARI,0,0,0,0,0,17.7,89.7,0.8,4.6,4.3,35,0.3,23.2,23.17
7,Josh Allen,BUF,QB,6,NYG,23.4,35.1,265.7,2.2,0.8,5.6,32.7,0.4,0,0,0,0,23.1,23.1
8,Jalen Hurts,PHI,QB,2,MIN,21,30.7,247.5,1.6,0.6,10,49,0.6,0,0,0,0,23,23
9,Patrick Mahomes,KC,QB,6,DEN,26.7,37.1,290.3,2.3,0.6,4.4,23.1,0.2,0,0,0,0,22.9,22.92
10,Jalen Hurts,PHI,QB,7,MIA,21.5,32,247.5,1.6,0.8,9.5,43.8,0.7,0,0,0,0,22.9,22.88
11,Patrick Mahomes,KC,QB,5,MIN,25.2,36.7,295,2.2,0.7,4.8,26.4,0.2,0,0,0,0,22.8,22.84
12,CeeDee Lamb,DAL,WR,18,WAS,0,0,0,0,0,1,6,0.1,10,7.4,100.2,0.7,22.8,22.82
13,Josh Allen,BUF,QB,2,LV,23.3,35.1,267.4,2,0.9,6.8,39.8,0.4,0,0,0,0,22.7,22.68
14,Christian McCaffrey,SF,RB,4,ARI,0,0,0,0,0,19,92.5,0.8,4.9,4.3,29.6,0.2,22.5,22.51
15,Patrick Mahomes,KC,QB,8,DEN,26.3,37.3,295.3,2.2,0.7,5.14,24.7,0.2,0,0,0,0,22.5,22.48
16,Christian McCaffrey,SF,RB,14,SEA,0,0,0,0,0,17.5,88.1,0.8,5,4.4,28.6,0.3,22.5,22.47
17,Patrick Mahomes,KC,QB,1,DET,24.9,37.1,299.3,2.2,0.7,3.8,20.9,0.2,0,0,0,0,22.5,22.46
